Country,No. of Irregular Migrants,Central Mediterranean Route,Western Mediterranean Route,Western African Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Libya,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uganda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mali,8903.0,6703.0,133.0,1869.0,195.0,8705.0,2.0
Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malawi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,14.0,0.0,0.0,1.0,12.0,1.0,0.0
Kenya,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,14765.0,11162.0,88.0,3351.0,162.0,14601.0,23.0
Comoros,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,36299.0,762.0,16842.0,11978.0,6715.0,29582.0,21.0
Niger,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1173.0,134.0,1021.0,0.0,16.0,1155.0,0.0
Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mozambique,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,7.0,5.0,0.0,0.0,1.0,5.0,0.0
Zambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritania,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congo,121.0,39.0,0.0,1.0,80.0,40.0,0.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,664.0,443.0,8.0,138.0,73.0,589.0,2.0
Guinea,21753.0,19447.0,217.0,1631.0,456.0,21295.0,18.0
Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Togo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sudan,14064.0,11391.0,0.0,42.0,2629.0,11433.0,1038.0
Cameroon,1154.0,943.0,1.0,20.0,188.0,964.0,4.0
Eritrea,304.0,207.0,0.0,0.0,95.0,207.0,38.0
Senegal,93248.0,25176.0,1305.0,66112.0,652.0,92593.0,49.0
Rwanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethiopia,466.0,384.0,0.0,0.0,80.0,384.0,29.0
Zimbabwe,89.0,0.0,0.0,0.0,89.0,0.0,0.0
Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Somalia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
