Country,Total_Irregular_Migrants,Central_Mediterranean_Route,Western_Mediterranean_Route,Western_African_Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Libya,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0
Mali,8903,6703,133,1869,195,8705,2
Cape Verde,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0
Angola,14,0,0,1,12,1,0
Kenya,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0
Gambia,14765,11162,88,3351,162,14601,23
Comoros,0,0,0,0,0,0,0
Morocco,36299,762,16842,11978,6715,29582,21
Niger,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0
Algeria,1173,134,1021,0,16,1155,0
Sierra Leone,0,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0
Mozambique,0,0,0,0,0,0,0
Central African Republic,7,5,0,0,1,5,0
Zambia,0,0,0,0,0,0,0
Tunisia,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0
Congo,121,39,0,1,80,40,0
Botswana,0,0,0,0,0,0,0
Ghana,664,443,8,138,73,589,2
Guinea,21753,19447,217,1631,456,21295,18
Madagascar,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0
Sudan,14064,11391,0,42,2629,11433,1038
Cameroon,1154,943,1,20,188,964,4
Eritrea,304,207,0,0,95,207,38
Senegal,93248,25176,1305,66112,652,92593,49
Rwanda,0,0,0,0,0,0,0
Ethiopia,466,384,0,0,80,384,29
Zimbabwe,89,0,0,0,89,0,0
Chad,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0
