Country,No. of Irregular Migrants,Central Mediterranean Route,Western Mediterranean Route,Western African Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Libya,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uganda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mali,9915.0,7465.0,148.0,2082.0,218.0,9695.0,3.0
Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malawi,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,34.0,0.0,0.0,3.0,30.0,3.0,0.0
Kenya,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comoros,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,159022.0,3339.0,73786.0,52477.0,29419.0,129602.0,95.0
Niger,35.0,31.0,0.0,1.0,1.0,32.0,15.0
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt,3428.0,3256.0,0.0,0.0,171.0,3256.0,121.0
Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,52174.0,6000.0,45443.0,0.0,730.0,51443.0,21.0
Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigeria,601.0,364.0,4.0,14.0,218.0,382.0,2.0
Mozambique,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,8296.0,8262.0,0.0,0.0,33.0,8262.0,8.0
Gabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritania,17.0,4.0,0.0,11.0,0.0,15.0,6.0
Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,291.0,194.0,3.0,60.0,32.0,257.0,1.0
Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madagascar,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Togo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sudan,99.0,80.0,0.0,0.0,18.0,80.0,7.0
Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,1583.0,427.0,22.0,1122.0,11.0,1571.0,0.0
Rwanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethiopia,15.0,12.0,0.0,0.0,2.0,12.0,0.0
Zimbabwe,137.0,0.0,0.0,0.0,137.0,0.0,0.0
Chad,91.0,82.0,0.0,1.0,7.0,83.0,6.0
Somalia,408.0,44.0,0.0,0.0,363.0,44.0,2.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
