Country,Total_Irregular_Migrants,Central_Mediterranean_Route,Western_Mediterranean_Route,Western_African_Route,Other Routes,No. of Irregular Migrants from Northern African Route,No_of_Irregular_Migrants_in_UK
Libya,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0
Mali,41935,31577,629,8806,922,41012,13
Cape Verde,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0
Malawi,6,0,0,0,6,0,0
Liberia,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0
Angola,213,0,0,21,191,21,0
Kenya,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0
Gambia,3009,2274,18,683,33,2975,4
Comoros,0,0,0,0,0,0,0
Morocco,813310,17079,377375,268392,150462,662846,490
Niger,153,137,1,8,5,146,69
Burundi,0,0,0,0,0,0,0
Egypt,19399,18429,0,0,969,18429,686
Mauritius,0,0,0,0,0,0,0
Algeria,175646,20199,152987,0,2459,173186,71
Sierra Leone,0,0,0,0,0,0,0
Nigeria,3820,2314,26,91,1386,2431,17
Mozambique,1,1,0,0,0,1,0
Central African Republic,9,7,0,0,1,7,0
Zambia,4,0,4,0,0,4,0
Tunisia,14258,14200,0,0,57,14200,14
Gabon,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0
Mauritania,45,12,0,30,1,42,17
Congo,166,54,0,1,110,55,0
Botswana,0,0,0,0,0,0,0
Ghana,614,410,7,127,68,544,2
Guinea,67805,60617,678,5085,1423,66380,56
Madagascar,6,0,0,0,6,0,0
Togo,1107,953,9,24,119,986,9
Sudan,1281,1037,0,3,239,1040,94
Cameroon,5012,4099,5,90,816,4194,20
Eritrea,1287,880,1,1,404,882,162
Senegal,64725,17475,906,45890,453,64271,34
Rwanda,0,0,0,0,0,0,0
Ethiopia,19,15,0,0,3,15,1
Zimbabwe,317,0,0,0,317,0,0
Chad,405,368,0,4,31,372,29
Somalia,474,51,0,0,422,51,2
Benin,3239,3083,132,6,16,3221,23
