Country,Total_Irregular_Migrants,Central_Mediterranean_Route,Western_Mediterranean_Route,Western_African_Route,Other Routes,No. of Irregular Migrants from Northern African Route,No_of_Irregular_Migrants_in_UK
Libya,15,12,1,0,1,13,4
Uganda,1326,0,0,0,1326,0,0
Mali,70672,53216,1060,14841,1554,69117,22
Cape Verde,0,0,0,0,0,0,0
Djibouti,263,0,0,0,263,0,0
Malawi,8,0,0,0,8,0,0
Liberia,32384,22118,161,615,9488,22894,62
Namibia,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0
Angola,509,0,0,50,458,50,0
Kenya,34,8,0,0,25,8,4
Seychelles,0,0,0,0,0,0,0
Gambia,1903,1438,11,431,20,1880,3
Comoros,2588,1055,0,1449,82,2504,0
Morocco,67158,1410,31161,22162,12424,54733,40
Niger,164,147,1,9,5,157,75
Burundi,68261,0,0,477,67783,477,0
Egypt,20727,19690,0,0,1036,19690,733
Mauritius,0,0,0,0,0,0,0
Algeria,33581,3861,29249,0,470,33110,13
Sierra Leone,293647,182061,293,2642,108649,184996,399
Nigeria,7322,4437,51,175,2657,4663,33
Mozambique,4,4,0,0,0,4,0
Central African Republic,174,141,0,4,27,145,16
Zambia,11,0,11,0,0,11,0
Tunisia,0,0,0,0,0,0,0
Gabon,105,89,0,0,15,89,0
Lesotho,0,0,0,0,0,0,0
Mauritania,3,0,0,2,0,2,0
Congo,391,127,0,4,259,131,0
Botswana,0,0,0,0,0,0,0
Ghana,8608,5750,111,1790,955,7651,36
Guinea,139295,124529,1392,10447,2925,136368,115
Madagascar,4,0,0,0,4,0,0
Togo,8544,7356,76,187,922,7619,73
Sudan,7710,6245,0,23,1441,6268,569
Cameroon,42697,34926,42,768,6959,35736,170
Eritrea,17215,11775,17,17,5405,11809,2172
Senegal,22112,5970,309,15677,154,21956,11
Rwanda,165,0,0,0,165,0,0
Ethiopia,1593,1315,0,1,275,1316,100
Zimbabwe,237,0,0,0,237,0,0
Chad,1190,1081,0,14,94,1095,86
Somalia,11253,1215,0,11,10026,1226,61
Benin,7704,7334,315,15,38,7664,56
