Country,No. of Irregular Migrants,Central Mediterranean Route,Western Mediterranean Route,Western African Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Libya,91.0,74.0,6.0,0.0,10.0,80.0,26.0
Uganda,1890.0,0.0,0.0,0.0,1890.0,0.0,0.0
Mali,209336.0,157630.0,3140.0,43960.0,4605.0,204730.0,65.0
Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,507.0,0.0,0.0,0.0,507.0,0.0,0.0
Malawi,15.0,0.0,0.0,0.0,15.0,0.0,0.0
Liberia,49247.0,33635.0,246.0,935.0,14429.0,34816.0,95.0
Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,4.0,0.0,0.0,0.0,4.0,0.0,0.0
Angola,768.0,0.0,0.0,76.0,691.0,76.0,0.0
Kenya,46.0,11.0,0.0,0.0,34.0,11.0,5.0
Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,15575.0,11774.0,93.0,3535.0,171.0,15402.0,25.0
Comoros,3379.0,1378.0,0.0,1892.0,108.0,3270.0,0.0
Morocco,530408.0,11138.0,246109.0,175034.0,98125.0,432281.0,319.0
Niger,448.0,402.0,4.0,25.0,15.0,431.0,206.0
Burundi,90713.0,0.0,0.0,634.0,90078.0,634.0,0.0
Egypt,64721.0,61484.0,0.0,0.0,3236.0,61484.0,2291.0
Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,210573.0,24215.0,183409.0,0.0,2948.0,207624.0,85.0
Sierra Leone,430423.0,266862.0,430.0,3873.0,159256.0,271165.0,585.0
Nigeria,11489.0,6962.0,80.0,275.0,4170.0,7317.0,52.0
Mozambique,12.0,12.0,0.0,0.0,0.0,12.0,0.0
Central African Republic,213.0,173.0,0.0,5.0,33.0,178.0,19.0
Zambia,14.0,0.0,14.0,0.0,0.0,14.0,0.0
Tunisia,36151.0,36006.0,0.0,0.0,144.0,36006.0,37.0
Gabon,165.0,141.0,0.0,0.0,23.0,141.0,0.0
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritania,148.0,42.0,0.0,100.0,5.0,142.0,60.0
Congo,653.0,212.0,0.0,7.0,432.0,219.0,0.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,13253.0,8853.0,172.0,2756.0,1471.0,11781.0,55.0
Guinea,384424.0,343675.0,3844.0,28831.0,8072.0,376350.0,319.0
Madagascar,11.0,0.0,0.0,0.0,11.0,0.0,0.0
Togo,11469.0,9874.0,103.0,252.0,1238.0,10229.0,98.0
Sudan,15382.0,12459.0,0.0,46.0,2876.0,12505.0,1135.0
Cameroon,61880.0,50617.0,61.0,1113.0,10086.0,51791.0,247.0
Eritrea,21418.0,14649.0,21.0,21.0,6725.0,14691.0,2702.0
Senegal,127168.0,34335.0,1780.0,90162.0,890.0,126277.0,66.0
Rwanda,211.0,0.0,0.0,0.0,211.0,0.0,0.0
Ethiopia,2399.0,1981.0,0.0,2.0,415.0,1983.0,151.0
Zimbabwe,632.0,0.0,0.0,0.0,632.0,0.0,0.0
Chad,2106.0,1914.0,0.0,25.0,166.0,1939.0,153.0
Somalia,12669.0,1368.0,0.0,12.0,11288.0,1380.0,69.0
Benin,10876.0,10353.0,445.0,21.0,54.0,10819.0,79.0
