Country,Total_Irregular_Migrants,Central_Mediterranean_Route,Western_Mediterranean_Route,Western_African_Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Libya,647,530,45,0,71,575,187
Uganda,361,0,0,0,361,0,0
Mali,84246,63437,1263,17691,1853,82391,26
Cape Verde,0,0,0,0,0,0,0
Djibouti,334,0,0,0,334,0,0
Malawi,3,0,0,0,3,0,0
Liberia,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0
South Africa,7,0,0,0,7,0,0
Angola,40,0,0,4,36,4,0
Kenya,12,3,0,0,9,3,1
Seychelles,0,0,0,0,0,0,0
Gambia,13869,10484,83,3148,152,13715,22
Comoros,0,0,0,0,0,0,0
Morocco,1429159,30012,663129,471622,264394,1164763,861
Niger,366,329,4,20,12,353,168
Burundi,15993,0,0,111,15881,111,0
Egypt,132102,125496,0,0,6605,125496,4677
Mauritius,0,0,0,0,0,0,0
Algeria,418395,48115,364422,0,5857,412537,169
Sierra Leone,0,0,0,0,0,0,0
Nigeria,4257,2579,29,102,1545,2710,19
Mozambique,1,1,0,0,0,1,0
Central African Republic,0,0,0,0,0,0,0
Zambia,1,0,1,0,0,1,0
Tunisia,53714,53499,0,0,214,53499,55
Gabon,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0
Mauritania,118,33,0,80,4,113,48
Congo,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0
Ghana,5136,3430,66,1068,570,4564,21
Guinea,0,0,0,0,0,0,0
Madagascar,3,0,0,0,3,0,0
Togo,0,0,0,0,0,0,0
Sudan,6899,5588,0,20,1290,5608,509
Cameroon,6473,5294,6,116,1055,5416,25
Eritrea,14833,10145,14,14,4657,10173,1871
Senegal,121660,32848,1703,86256,851,120807,64
Rwanda,664,0,0,0,664,0,0
Ethiopia,1351,1115,0,1,233,1116,84
Zimbabwe,238,0,0,0,238,0,0
Chad,85,77,0,1,6,78,6
Somalia,1207,130,0,1,1075,131,6
Benin,0,0,0,0,0,0,0
