Country,No. of Irregular Migrants,Central Mediterranean Route,Western Mediterranean Route,Western African Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Libya,184.0,150.0,12.0,0.0,20.0,162.0,52.0
Uganda,328.0,0.0,0.0,0.0,328.0,0.0,0.0
Mali,76496.0,57601.0,1147.0,16064.0,1682.0,74812.0,23.0
Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,87.0,0.0,0.0,0.0,87.0,0.0,0.0
Malawi,4.0,0.0,0.0,0.0,4.0,0.0,0.0
Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,198.0,0.0,0.0,19.0,178.0,19.0,0.0
Kenya,6.0,1.0,0.0,0.0,4.0,1.0,0.0
Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,21524.0,16272.0,129.0,4885.0,236.0,21286.0,34.0
Comoros,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,34259.0,719.0,15896.0,11305.0,6337.0,27920.0,20.0
Niger,154.0,138.0,1.0,8.0,5.0,147.0,70.0
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,9938.0,1142.0,8655.0,0.0,139.0,9797.0,4.0
Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigeria,6602.0,4000.0,46.0,158.0,2396.0,4204.0,30.0
Mozambique,2.0,2.0,0.0,0.0,0.0,2.0,0.0
Central African Republic,102.0,83.0,0.0,2.0,16.0,85.0,9.0
Zambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,2999.0,2987.0,0.0,0.0,11.0,2987.0,3.0
Gabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritania,12.0,3.0,0.0,8.0,0.0,11.0,4.0
Congo,144.0,46.0,0.0,1.0,95.0,47.0,0.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,6932.0,4630.0,90.0,1441.0,769.0,6161.0,29.0
Guinea,44614.0,39884.0,446.0,3346.0,936.0,43676.0,37.0
Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Togo,6643.0,5719.0,59.0,146.0,717.0,5924.0,57.0
Sudan,17522.0,14192.0,0.0,52.0,3276.0,14244.0,1293.0
Cameroon,8657.0,7081.0,8.0,155.0,1411.0,7244.0,34.0
Eritrea,3222.0,2203.0,3.0,3.0,1011.0,2209.0,406.0
Senegal,155912.0,42096.0,2182.0,110541.0,1091.0,154819.0,82.0
Rwanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethiopia,780.0,644.0,0.0,0.0,134.0,644.0,49.0
Zimbabwe,91.0,0.0,0.0,0.0,91.0,0.0,0.0
Chad,302.0,274.0,0.0,3.0,23.0,277.0,21.0
Somalia,182.0,19.0,0.0,0.0,162.0,19.0,0.0
Benin,5036.0,4794.0,206.0,10.0,25.0,5010.0,36.0
