Country,Total_Irregular_Migrants,Central_Mediterranean_Route,Western_Mediterranean_Route,Western_African_Route,Other Routes,No. of Irregular Migrants from Northern African Route,No_of_Irregular_Migrants_in_UK
Libya,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0
Mali,1277,961,19,268,28,1248,0
Cape Verde,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0
Angola,14,0,0,1,12,1,0
Kenya,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0
Gambia,2741,2072,16,622,30,2710,4
Comoros,0,0,0,0,0,0,0
Morocco,1697,35,787,560,313,1382,1
Niger,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0
Algeria,195,22,169,0,2,191,0
Sierra Leone,0,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0
Mozambique,0,0,0,0,0,0,0
Central African Republic,4,3,0,0,0,3,0
Zambia,0,0,0,0,0,0,0
Tunisia,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0
Congo,38,12,0,0,25,12,0
Botswana,0,0,0,0,0,0,0
Ghana,214,142,2,44,23,188,0
Guinea,3973,3551,39,297,83,3887,3
Madagascar,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0
Sudan,1574,1274,0,4,294,1278,116
Cameroon,242,197,0,4,39,201,0
Eritrea,170,116,0,0,53,116,21
Senegal,15100,4077,211,10705,105,14993,7
Rwanda,0,0,0,0,0,0,0
Ethiopia,23,18,0,0,3,18,1
Zimbabwe,16,0,0,0,16,0,0
Chad,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0
