Country,Total_Irregular_Migrants,Central_Mediterranean_Route,Western_Mediterranean_Route,Western_African_Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Libya,184,150,12,0,20,162,52
Uganda,328,0,0,0,328,0,0
Mali,76496,57601,1147,16064,1682,74812,23
Cape Verde,0,0,0,0,0,0,0
Djibouti,87,0,0,0,87,0,0
Malawi,4,0,0,0,4,0,0
Liberia,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0
Angola,198,0,0,19,178,19,0
Kenya,6,1,0,0,4,1,0
Seychelles,0,0,0,0,0,0,0
Gambia,21524,16272,129,4885,236,21286,34
Comoros,0,0,0,0,0,0,0
Morocco,34259,719,15896,11305,6337,27920,20
Niger,154,138,1,8,5,147,70
Burundi,0,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0
Algeria,9938,1142,8655,0,139,9797,4
Sierra Leone,0,0,0,0,0,0,0
Nigeria,6602,4000,46,158,2396,4204,30
Mozambique,2,2,0,0,0,2,0
Central African Republic,102,83,0,2,16,85,9
Zambia,0,0,0,0,0,0,0
Tunisia,2999,2987,0,0,11,2987,3
Gabon,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0
Mauritania,12,3,0,8,0,11,4
Congo,144,46,0,1,95,47,0
Botswana,0,0,0,0,0,0,0
Ghana,6932,4630,90,1441,769,6161,29
Guinea,44614,39884,446,3346,936,43676,37
Madagascar,0,0,0,0,0,0,0
Togo,6643,5719,59,146,717,5924,57
Sudan,17522,14192,0,52,3276,14244,1293
Cameroon,8657,7081,8,155,1411,7244,34
Eritrea,3222,2203,3,3,1011,2209,406
Senegal,155912,42096,2182,110541,1091,154819,82
Rwanda,0,0,0,0,0,0,0
Ethiopia,780,644,0,0,134,644,49
Zimbabwe,91,0,0,0,91,0,0
Chad,302,274,0,3,23,277,21
Somalia,182,19,0,0,162,19,0
Benin,5036,4794,206,10,25,5010,36
