Country,Total_Irregular_Migrants,Central_Mediterranean_Route,Western_Mediterranean_Route,Western_African_Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Libya,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0
Mali,1337,1006,20,280,29,1306,0
Cape Verde,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0
Angola,33,0,0,3,29,3,0
Kenya,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0
Gambia,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0
Morocco,6510,136,3020,2148,1204,5304,3
Niger,7,6,0,0,0,6,2
Burundi,0,0,0,0,0,0,0
Egypt,42,39,0,0,2,39,1
Mauritius,0,0,0,0,0,0,0
Algeria,12721,1462,11079,0,178,12541,5
Sierra Leone,0,0,0,0,0,0,0
Nigeria,138,83,0,3,50,86,0
Mozambique,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,0,0
Tunisia,2006,1997,0,0,8,1997,2
Gabon,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0
Mauritania,1,0,0,0,0,0,0
Congo,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0
Ghana,92,61,1,19,10,81,0
Guinea,0,0,0,0,0,0,0
Madagascar,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0
Sudan,8,6,0,0,1,6,0
Cameroon,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0
Senegal,361,97,5,255,2,357,0
Rwanda,0,0,0,0,0,0,0
Ethiopia,1,0,0,0,0,0,0
Zimbabwe,24,0,0,0,24,0,0
Chad,34,30,0,0,2,30,2
Somalia,481,51,0,0,428,51,2
Benin,0,0,0,0,0,0,0
