Country,Total_Irregular_Migrants,Central_Mediterranean_Route,Western_Mediterranean_Route,Western_African_Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Libya,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0
Mali,30692,23111,460,6445,675,30016,9
Cape Verde,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0
Malawi,7,0,0,0,7,0,0
Liberia,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0
Angola,218,0,0,21,196,21,0
Kenya,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0
Gambia,2595,1961,15,589,28,2565,4
Comoros,0,0,0,0,0,0,0
Morocco,333750,7008,154860,110137,61743,272005,201
Niger,196,176,2,10,6,188,89
Burundi,0,0,0,0,0,0,0
Egypt,3581,3401,0,0,179,3401,126
Mauritius,0,0,0,0,0,0,0
Algeria,210026,24152,182932,0,2940,207084,84
Sierra Leone,0,0,0,0,0,0,0
Nigeria,3619,2193,25,86,1313,2304,16
Mozambique,1,1,0,0,0,1,0
Central African Republic,9,7,0,0,1,7,0
Zambia,5,0,5,0,0,5,0
Tunisia,11857,11809,0,0,47,11809,12
Gabon,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0
Mauritania,24,6,0,16,0,22,9
Congo,124,40,0,1,82,41,0
Botswana,0,0,0,0,0,0,0
Ghana,563,376,7,117,62,500,2
Guinea,40660,36350,406,3049,853,39805,33
Madagascar,4,0,0,0,4,0,0
Togo,981,844,8,21,105,873,8
Sudan,1021,827,0,3,190,830,75
Cameroon,3764,3078,3,67,613,3148,15
Eritrea,1566,1071,1,1,491,1073,197
Senegal,58029,15667,812,41142,406,57621,30
Rwanda,0,0,0,0,0,0,0
Ethiopia,15,12,0,0,2,12,0
Zimbabwe,184,0,0,0,184,0,0
Chad,352,319,0,4,27,323,25
Somalia,697,75,0,0,621,75,3
Benin,2914,2774,119,5,14,2898,21
