Country,No. of Irregular Migrants,Central Mediterranean Route,Western Mediterranean Route,Western African Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Libya,215.0,176.0,15.0,0.0,23.0,191.0,62.0
Uganda,2498.0,0.0,0.0,0.0,2498.0,0.0,0.0
Mali,203196.0,153006.0,3047.0,42671.0,4470.0,198724.0,63.0
Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,538.0,0.0,0.0,0.0,538.0,0.0,0.0
Malawi,20.0,0.0,0.0,0.0,20.0,0.0,0.0
Liberia,47049.0,32134.0,235.0,893.0,13785.0,33262.0,91.0
Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,10.0,0.0,0.0,0.0,10.0,0.0,0.0
Angola,1850.0,0.0,0.0,185.0,1665.0,185.0,0.0
Kenya,60.0,15.0,0.0,0.0,45.0,15.0,7.0
Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,21524.0,16272.0,129.0,4885.0,236.0,21286.0,34.0
Comoros,4790.0,1954.0,0.0,2682.0,153.0,4636.0,0.0
Morocco,472070.0,9913.0,219040.0,155783.0,87332.0,384736.0,284.0
Niger,743.0,667.0,8.0,41.0,25.0,716.0,342.0
Burundi,81044.0,0.0,0.0,567.0,80476.0,567.0,0.0
Egypt,54136.0,51429.0,0.0,0.0,2706.0,51429.0,1916.0
Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,533962.0,61405.0,465080.0,0.0,7475.0,526485.0,215.0
Sierra Leone,331233.0,205364.0,331.0,2981.0,122556.0,208676.0,450.0
Nigeria,15053.0,9122.0,105.0,361.0,5464.0,9588.0,68.0
Mozambique,15.0,15.0,0.0,0.0,0.0,15.0,0.0
Central African Republic,254.0,207.0,0.0,6.0,40.0,213.0,23.0
Zambia,20.0,0.0,20.0,0.0,0.0,20.0,0.0
Tunisia,61706.0,61459.0,0.0,0.0,246.0,61459.0,63.0
Gabon,206.0,176.0,0.0,0.0,29.0,176.0,0.0
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritania,137.0,39.0,0.0,93.0,4.0,132.0,56.0
Congo,681.0,222.0,0.0,7.0,451.0,229.0,0.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,16625.0,11105.0,216.0,3458.0,1845.0,14779.0,69.0
Guinea,341110.0,304952.0,3411.0,25583.0,7163.0,333946.0,283.0
Madagascar,11.0,0.0,0.0,0.0,11.0,0.0,0.0
Togo,11779.0,10141.0,106.0,259.0,1272.0,10506.0,101.0
Sudan,17343.0,14047.0,0.0,52.0,3243.0,14099.0,1280.0
Cameroon,60004.0,49083.0,60.0,1080.0,9780.0,50223.0,240.0
Eritrea,28976.0,19819.0,28.0,28.0,9098.0,19875.0,3655.0
Senegal,177820.0,48011.0,2489.0,126074.0,1244.0,176574.0,93.0
Rwanda,289.0,0.0,0.0,0.0,289.0,0.0,0.0
Ethiopia,2176.0,1797.0,0.0,2.0,376.0,1799.0,137.0
Zimbabwe,487.0,0.0,0.0,0.0,487.0,0.0,0.0
Chad,2154.0,1957.0,0.0,25.0,170.0,1982.0,156.0
Somalia,21690.0,2342.0,0.0,21.0,19325.0,2363.0,118.0
Benin,11271.0,10729.0,462.0,22.0,56.0,11213.0,82.0
