Country,No. of Irregular Migrants,Central Mediterranean Route,Western Mediterranean Route,Western African Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Libya,704.0,577.0,49.0,0.0,77.0,626.0,203.0
Uganda,323.0,0.0,0.0,0.0,323.0,0.0,0.0
Mali,59695.0,44950.0,895.0,12535.0,1313.0,58380.0,18.0
Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,298.0,0.0,0.0,0.0,298.0,0.0,0.0
Malawi,3.0,0.0,0.0,0.0,3.0,0.0,0.0
Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,6.0,0.0,0.0,0.0,6.0,0.0,0.0
Angola,110.0,0.0,0.0,11.0,99.0,11.0,0.0
Kenya,10.0,2.0,0.0,0.0,7.0,2.0,1.0
Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,12039.0,9101.0,72.0,2732.0,132.0,11905.0,19.0
Comoros,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,595268.0,12500.0,276204.0,196438.0,110124.0,485142.0,359.0
Niger,462.0,415.0,5.0,25.0,15.0,445.0,212.0
Burundi,15626.0,0.0,0.0,109.0,15516.0,109.0,0.0
Egypt,41980.0,39881.0,0.0,0.0,2099.0,39881.0,1486.0
Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,508236.0,58447.0,442673.0,0.0,7115.0,501120.0,205.0
Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigeria,3852.0,2334.0,26.0,92.0,1398.0,2452.0,17.0
Mozambique,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Tunisia,51727.0,51520.0,0.0,0.0,206.0,51520.0,53.0
Gabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritania,67.0,19.0,0.0,45.0,2.0,64.0,27.0
Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,4199.0,2804.0,54.0,873.0,466.0,3731.0,17.0
Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madagascar,2.0,0.0,0.0,0.0,2.0,0.0,0.0
Togo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sudan,4872.0,3946.0,0.0,14.0,911.0,3960.0,359.0
Cameroon,5186.0,4242.0,5.0,93.0,845.0,4340.0,20.0
Eritrea,18445.0,12616.0,18.0,18.0,5791.0,12652.0,2327.0
Senegal,102603.0,27702.0,1436.0,72745.0,718.0,101883.0,53.0
Rwanda,690.0,0.0,0.0,0.0,690.0,0.0,0.0
Ethiopia,859.0,709.0,0.0,0.0,148.0,709.0,53.0
Zimbabwe,116.0,0.0,0.0,0.0,116.0,0.0,0.0
Chad,78.0,70.0,0.0,0.0,6.0,70.0,5.0
Somalia,1681.0,181.0,0.0,1.0,1497.0,182.0,9.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
