Country,No. of Irregular Migrants,Central Mediterranean Route,Western Mediterranean Route,Western African Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Libya,64.0,52.0,4.0,0.0,7.0,56.0,18.0
Uganda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mali,116.0,87.0,1.0,24.0,2.0,112.0,0.0
Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,133.0,0.0,0.0,0.0,133.0,0.0,0.0
Malawi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenya,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comoros,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,1990.0,41.0,923.0,656.0,368.0,1620.0,1.0
Niger,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt,32.0,30.0,0.0,0.0,1.0,30.0,1.0
Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,5050.0,580.0,4398.0,0.0,70.0,4978.0,2.0
Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigeria,2.0,1.0,0.0,0.0,0.0,1.0,0.0
Mozambique,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,223.0,222.0,0.0,0.0,0.0,222.0,0.0
Gabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritania,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,4.0,2.0,0.0,0.0,0.0,2.0,0.0
Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Togo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sudan,26.0,21.0,0.0,0.0,4.0,21.0,1.0
Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eritrea,784.0,536.0,0.0,0.0,246.0,536.0,98.0
Senegal,408.0,110.0,5.0,289.0,2.0,404.0,0.0
Rwanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethiopia,6.0,4.0,0.0,0.0,1.0,4.0,0.0
Zimbabwe,5.0,0.0,0.0,0.0,5.0,0.0,0.0
Chad,7.0,6.0,0.0,0.0,0.0,6.0,0.0
Somalia,798.0,86.0,0.0,0.0,711.0,86.0,4.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
