Country,Total_Irregular_Migrants,Central_Mediterranean_Route,Western_Mediterranean_Route,Western_African_Route,Other Routes,No. of Irregular Migrants from Northern African Route,No_of_Irregular_Migrants_in_UK
Libya,704,577,49,0,77,626,203
Uganda,323,0,0,0,323,0,0
Mali,59695,44950,895,12535,1313,58380,18
Cape Verde,0,0,0,0,0,0,0
Djibouti,298,0,0,0,298,0,0
Malawi,3,0,0,0,3,0,0
Liberia,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0
South Africa,6,0,0,0,6,0,0
Angola,110,0,0,11,99,11,0
Kenya,10,2,0,0,7,2,1
Seychelles,0,0,0,0,0,0,0
Gambia,12039,9101,72,2732,132,11905,19
Comoros,0,0,0,0,0,0,0
Morocco,595268,12500,276204,196438,110124,485142,359
Niger,462,415,5,25,15,445,212
Burundi,15626,0,0,109,15516,109,0
Egypt,41980,39881,0,0,2099,39881,1486
Mauritius,0,0,0,0,0,0,0
Algeria,508236,58447,442673,0,7115,501120,205
Sierra Leone,0,0,0,0,0,0,0
Nigeria,3852,2334,26,92,1398,2452,17
Mozambique,1,1,0,0,0,1,0
Central African Republic,0,0,0,0,0,0,0
Zambia,1,0,1,0,0,1,0
Tunisia,51727,51520,0,0,206,51520,53
Gabon,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0
Mauritania,67,19,0,45,2,64,27
Congo,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0
Ghana,4199,2804,54,873,466,3731,17
Guinea,0,0,0,0,0,0,0
Madagascar,2,0,0,0,2,0,0
Togo,0,0,0,0,0,0,0
Sudan,4872,3946,0,14,911,3960,359
Cameroon,5186,4242,5,93,845,4340,20
Eritrea,18445,12616,18,18,5791,12652,2327
Senegal,102603,27702,1436,72745,718,101883,53
Rwanda,690,0,0,0,690,0,0
Ethiopia,859,709,0,0,148,709,53
Zimbabwe,116,0,0,0,116,0,0
Chad,78,70,0,0,6,70,5
Somalia,1681,181,0,1,1497,182,9
Benin,0,0,0,0,0,0,0
