Country,Scenario,Variable,2030,2050
Angola,SSP1_1p5,Energy-2|EV10,18524153.0,12459951.0
Burundi,SSP1_1p5,Energy-2|EV10,14312065.0,6915536.0
Benin,SSP1_1p5,Energy-2|EV10,11015170.0,5076038.0
Botswana,SSP1_1p5,Energy-2|EV10,19064.0,11318.0
Central African Republic,SSP1_1p5,Energy-2|EV10,4506265.0,2813219.0
Cameroon,SSP1_1p5,Energy-2|EV10,18798055.0,5434477.0
Congo,SSP1_1p5,Energy-2|EV10,1807645.0,628693.0
Comoros,SSP1_1p5,Energy-2|EV10,803467.0,438675.0
Cape Verde,SSP1_1p5,Energy-2|EV10,0.0,0.0
Djibouti,SSP1_1p5,Energy-2|EV10,317992.0,186507.0
Algeria,SSP1_1p5,Energy-2|EV10,6249846.0,2183130.0
Egypt,SSP1_1p5,Energy-2|EV10,9828081.0,112238.0
Eritrea,SSP1_1p5,Energy-2|EV10,5631377.0,5196037.0
Western Sahara,SSP1_1p5,Energy-2|EV10,0.0,0.0
Ethiopia,SSP1_1p5,Energy-2|EV10,38775717.0,13162700.0
Gabon,SSP1_1p5,Energy-2|EV10,620640.0,175989.0
Ghana,SSP1_1p5,Energy-2|EV10,20150831.0,4829274.0
Guinea,SSP1_1p5,Energy-2|EV10,4708471.0,290067.0
Gambia,SSP1_1p5,Energy-2|EV10,296787.0,71057.0
Equatorial Guinea,SSP1_1p5,Energy-2|EV10,249386.0,106884.0
Kenya,SSP1_1p5,Energy-2|EV10,22901606.0,11216398.0
Liberia,SSP1_1p5,Energy-2|EV10,6975903.0,2629980.0
Libya,SSP1_1p5,Energy-2|EV10,60386.0,11040.0
Lesotho,SSP1_1p5,Energy-2|EV10,0.0,0.0
Morocco,SSP1_1p5,Energy-2|EV10,2090692.0,193414.0
Madagascar,SSP1_1p5,Energy-2|EV10,13345159.0,5970934.0
Mali,SSP1_1p5,Energy-2|EV10,12073479.0,4122164.0
Mozambique,SSP1_1p5,Energy-2|EV10,13992757.0,5681588.0
Mauritania,SSP1_1p5,Energy-2|EV10,102255.0,37385.0
Mauritius,SSP1_1p5,Energy-2|EV10,0.0,0.0
Malawi,SSP1_1p5,Energy-2|EV10,12705582.0,8962804.0
Namibia,SSP1_1p5,Energy-2|EV10,146288.0,88186.0
Niger,SSP1_1p5,Energy-2|EV10,13081792.0,7944657.0
Nigeria,SSP1_1p5,Energy-2|EV10,151936183.0,54577906.0
Rwanda,SSP1_1p5,Energy-2|EV10,2768093.0,1742628.0
Sudan,SSP1_1p5,Energy-2|EV10,36366085.0,8494145.0
Senegal,SSP1_1p5,Energy-2|EV10,2739018.0,825315.0
Sierra Leone,SSP1_1p5,Energy-2|EV10,6780793.0,2113484.0
Somalia,SSP1_1p5,Energy-2|EV10,10490000.0,11188950.0
Sao Tome and Principe,SSP1_1p5,Energy-2|EV10,0.0,0.0
Swaziland,SSP1_1p5,Energy-2|EV10,0.0,0.0
Seychelles,SSP1_1p5,Energy-2|EV10,0.0,0.0
Chad,SSP1_1p5,Energy-2|EV10,11696770.0,5311734.0
Togo,SSP1_1p5,Energy-2|EV10,4318963.0,1991404.0
Tunisia,SSP1_1p5,Energy-2|EV10,0.0,0.0
Uganda,SSP1_1p5,Energy-2|EV10,41042477.0,20064780.0
South Africa,SSP1_1p5,Energy-2|EV10,0.0,0.0
Zambia,SSP1_1p5,Energy-2|EV10,15242062.0,10437769.0
Zimbabwe,SSP1_1p5,Energy-2|EV10,5162977.0,2825365.0
