Country,Scenario,Variable,2030,2050
Angola,SSP1_1p5,Land-1|EV10,0.0,0.0
Burundi,SSP1_1p5,Land-1|EV10,0.0,0.0
Benin,SSP1_1p5,Land-1|EV10,0.0,0.0
Botswana,SSP1_1p5,Land-1|EV10,0.0,0.0
Central African Republic,SSP1_1p5,Land-1|EV10,0.0,0.0
Cameroon,SSP1_1p5,Land-1|EV10,40836.0,12446.0
Congo,SSP1_1p5,Land-1|EV10,239730.0,91574.0
Comoros,SSP1_1p5,Land-1|EV10,0.0,0.0
Cape Verde,SSP1_1p5,Land-1|EV10,0.0,0.0
Djibouti,SSP1_1p5,Land-1|EV10,0.0,0.0
Algeria,SSP1_1p5,Land-1|EV10,0.0,0.0
Egypt,SSP1_1p5,Land-1|EV10,0.0,0.0
Eritrea,SSP1_1p5,Land-1|EV10,0.0,0.0
Western Sahara,SSP1_1p5,Land-1|EV10,0.0,0.0
Ethiopia,SSP1_1p5,Land-1|EV10,0.0,0.0
Gabon,SSP1_1p5,Land-1|EV10,0.0,0.0
Ghana,SSP1_1p5,Land-1|EV10,0.0,0.0
Guinea,SSP1_1p5,Land-1|EV10,0.0,0.0
Gambia,SSP1_1p5,Land-1|EV10,0.0,0.0
Equatorial Guinea,SSP1_1p5,Land-1|EV10,0.0,0.0
Kenya,SSP1_1p5,Land-1|EV10,0.0,0.0
Liberia,SSP1_1p5,Land-1|EV10,0.0,0.0
Libya,SSP1_1p5,Land-1|EV10,0.0,0.0
Lesotho,SSP1_1p5,Land-1|EV10,0.0,0.0
Morocco,SSP1_1p5,Land-1|EV10,0.0,0.0
Madagascar,SSP1_1p5,Land-1|EV10,0.0,0.0
Mali,SSP1_1p5,Land-1|EV10,0.0,0.0
Mozambique,SSP1_1p5,Land-1|EV10,0.0,0.0
Mauritania,SSP1_1p5,Land-1|EV10,0.0,0.0
Mauritius,SSP1_1p5,Land-1|EV10,0.0,0.0
Malawi,SSP1_1p5,Land-1|EV10,0.0,0.0
Namibia,SSP1_1p5,Land-1|EV10,0.0,0.0
Niger,SSP1_1p5,Land-1|EV10,0.0,0.0
Nigeria,SSP1_1p5,Land-1|EV10,0.0,0.0
Rwanda,SSP1_1p5,Land-1|EV10,0.0,0.0
Sudan,SSP1_1p5,Land-1|EV10,10469035.0,1704860.0
Senegal,SSP1_1p5,Land-1|EV10,0.0,0.0
Sierra Leone,SSP1_1p5,Land-1|EV10,0.0,0.0
Somalia,SSP1_1p5,Land-1|EV10,0.0,0.0
Sao Tome and Principe,SSP1_1p5,Land-1|EV10,0.0,0.0
Swaziland,SSP1_1p5,Land-1|EV10,0.0,0.0
Seychelles,SSP1_1p5,Land-1|EV10,0.0,0.0
Chad,SSP1_1p5,Land-1|EV10,0.0,0.0
Togo,SSP1_1p5,Land-1|EV10,0.0,0.0
Tunisia,SSP1_1p5,Land-1|EV10,0.0,0.0
Uganda,SSP1_1p5,Land-1|EV10,0.0,0.0
South Africa,SSP1_1p5,Land-1|EV10,3019.0,1634.0
Zambia,SSP1_1p5,Land-1|EV10,0.0,0.0
Zimbabwe,SSP1_1p5,Land-1|EV10,0.0,0.0
