Country,Scenario,Variable,2030,2050
Angola,SSP3_3p0,Land-1|EV10,3675716.0,5736697.0
Burundi,SSP3_3p0,Land-1|EV10,0.0,0.0
Benin,SSP3_3p0,Land-1|EV10,4645899.0,5909796.0
Botswana,SSP3_3p0,Land-1|EV10,65810.0,63631.0
Central African Republic,SSP3_3p0,Land-1|EV10,2236877.0,2870817.0
Cameroon,SSP3_3p0,Land-1|EV10,2367956.0,2840391.0
Congo,SSP3_3p0,Land-1|EV10,573353.0,644534.0
Comoros,SSP3_3p0,Land-1|EV10,0.0,0.0
Cape Verde,SSP3_3p0,Land-1|EV10,0.0,0.0
Djibouti,SSP3_3p0,Land-1|EV10,49615.0,63008.0
Algeria,SSP3_3p0,Land-1|EV10,187545.0,201007.0
Egypt,SSP3_3p0,Land-1|EV10,0.0,0.0
Eritrea,SSP3_3p0,Land-1|EV10,915859.0,1226905.0
Western Sahara,SSP3_3p0,Land-1|EV10,0.0,0.0
Ethiopia,SSP3_3p0,Land-1|EV10,18962668.0,24785585.0
Gabon,SSP3_3p0,Land-1|EV10,0.0,0.0
Ghana,SSP3_3p0,Land-1|EV10,7377102.0,9143516.0
Guinea,SSP3_3p0,Land-1|EV10,545813.0,553878.0
Gambia,SSP3_3p0,Land-1|EV10,1956163.0,2502289.0
Equatorial Guinea,SSP3_3p0,Land-1|EV10,0.0,0.0
Kenya,SSP3_3p0,Land-1|EV10,2952439.0,3781591.0
Liberia,SSP3_3p0,Land-1|EV10,0.0,0.0
Libya,SSP3_3p0,Land-1|EV10,5923.0,6836.0
Lesotho,SSP3_3p0,Land-1|EV10,0.0,0.0
Morocco,SSP3_3p0,Land-1|EV10,565977.0,418410.0
Madagascar,SSP3_3p0,Land-1|EV10,0.0,0.0
Mali,SSP3_3p0,Land-1|EV10,9663874.0,13312741.0
Mozambique,SSP3_3p0,Land-1|EV10,5452459.0,7253566.0
Mauritania,SSP3_3p0,Land-1|EV10,218917.0,277179.0
Mauritius,SSP3_3p0,Land-1|EV10,0.0,0.0
Malawi,SSP3_3p0,Land-1|EV10,4453382.0,7023552.0
Namibia,SSP3_3p0,Land-1|EV10,122730.0,161844.0
Niger,SSP3_3p0,Land-1|EV10,5118076.0,9509316.0
Nigeria,SSP3_3p0,Land-1|EV10,84016270.0,113002925.0
Rwanda,SSP3_3p0,Land-1|EV10,0.0,0.0
Sudan,SSP3_3p0,Land-1|EV10,55398165.0,69953821.0
Senegal,SSP3_3p0,Land-1|EV10,15006234.0,18862778.0
Sierra Leone,SSP3_3p0,Land-1|EV10,0.0,0.0
Somalia,SSP3_3p0,Land-1|EV10,136072.0,192348.0
Sao Tome and Principe,SSP3_3p0,Land-1|EV10,0.0,0.0
Swaziland,SSP3_3p0,Land-1|EV10,122957.0,118003.0
Seychelles,SSP3_3p0,Land-1|EV10,0.0,0.0
Chad,SSP3_3p0,Land-1|EV10,1845161.0,2436915.0
Togo,SSP3_3p0,Land-1|EV10,2807926.0,3258356.0
Tunisia,SSP3_3p0,Land-1|EV10,18597.0,18146.0
Uganda,SSP3_3p0,Land-1|EV10,6892089.0,10023975.0
South Africa,SSP3_3p0,Land-1|EV10,1491097.0,1398629.0
Zambia,SSP3_3p0,Land-1|EV10,0.0,0.0
Zimbabwe,SSP3_3p0,Land-1|EV10,2149831.0,2674264.0
