Country,Scenario,Variable,2030,2050
Angola,SSP3_3p0,Water-3|EV10,3277624.0,5082831.0
Burundi,SSP3_3p0,Water-3|EV10,0.0,0.0
Benin,SSP3_3p0,Water-3|EV10,2703480.0,3450088.0
Botswana,SSP3_3p0,Water-3|EV10,143728.0,138880.0
Central African Republic,SSP3_3p0,Water-3|EV10,192864.0,228769.0
Cameroon,SSP3_3p0,Water-3|EV10,1381171.0,1524077.0
Congo,SSP3_3p0,Water-3|EV10,331518.0,384388.0
Comoros,SSP3_3p0,Water-3|EV10,0.0,0.0
Cape Verde,SSP3_3p0,Water-3|EV10,0.0,0.0
Djibouti,SSP3_3p0,Water-3|EV10,0.0,0.0
Algeria,SSP3_3p0,Water-3|EV10,9520669.0,11169615.0
Egypt,SSP3_3p0,Water-3|EV10,3214178.0,1584097.0
Eritrea,SSP3_3p0,Water-3|EV10,335364.0,446803.0
Western Sahara,SSP3_3p0,Water-3|EV10,0.0,0.0
Ethiopia,SSP3_3p0,Water-3|EV10,238440.0,309436.0
Gabon,SSP3_3p0,Water-3|EV10,0.0,0.0
Ghana,SSP3_3p0,Water-3|EV10,519518.0,651866.0
Guinea,SSP3_3p0,Water-3|EV10,528780.0,541766.0
Gambia,SSP3_3p0,Water-3|EV10,210179.0,267453.0
Equatorial Guinea,SSP3_3p0,Water-3|EV10,0.0,0.0
Kenya,SSP3_3p0,Water-3|EV10,55857.0,72398.0
Liberia,SSP3_3p0,Water-3|EV10,0.0,0.0
Libya,SSP3_3p0,Water-3|EV10,7.0,5.0
Lesotho,SSP3_3p0,Water-3|EV10,0.0,0.0
Morocco,SSP3_3p0,Water-3|EV10,8636441.0,6196612.0
Madagascar,SSP3_3p0,Water-3|EV10,14508325.0,18677643.0
Mali,SSP3_3p0,Water-3|EV10,3520579.0,4917092.0
Mozambique,SSP3_3p0,Water-3|EV10,3229679.0,4268628.0
Mauritania,SSP3_3p0,Water-3|EV10,465391.0,546177.0
Mauritius,SSP3_3p0,Water-3|EV10,0.0,0.0
Malawi,SSP3_3p0,Water-3|EV10,7252092.0,11457578.0
Namibia,SSP3_3p0,Water-3|EV10,96777.0,96413.0
Niger,SSP3_3p0,Water-3|EV10,6873429.0,13196010.0
Nigeria,SSP3_3p0,Water-3|EV10,39279882.0,54491492.0
Rwanda,SSP3_3p0,Water-3|EV10,0.0,0.0
Sudan,SSP3_3p0,Water-3|EV10,2380826.0,3093751.0
Senegal,SSP3_3p0,Water-3|EV10,4411629.0,5631851.0
Sierra Leone,SSP3_3p0,Water-3|EV10,0.0,0.0
Somalia,SSP3_3p0,Water-3|EV10,435245.0,641253.0
Sao Tome and Principe,SSP3_3p0,Water-3|EV10,0.0,0.0
Swaziland,SSP3_3p0,Water-3|EV10,0.0,0.0
Seychelles,SSP3_3p0,Water-3|EV10,0.0,0.0
Chad,SSP3_3p0,Water-3|EV10,2304040.0,2909301.0
Togo,SSP3_3p0,Water-3|EV10,382200.0,446274.0
Tunisia,SSP3_3p0,Water-3|EV10,551067.0,271601.0
Uganda,SSP3_3p0,Water-3|EV10,0.0,0.0
South Africa,SSP3_3p0,Water-3|EV10,1704643.0,1683539.0
Zambia,SSP3_3p0,Water-3|EV10,4338244.0,6674945.0
Zimbabwe,SSP3_3p0,Water-3|EV10,5440628.0,5755299.0
