Country,Scenario,Variable,2030,2050
Angola,SSP3_3p0,Water-1|EV10,1569664.0,2615483.0
Burundi,SSP3_3p0,Water-1|EV10,2696471.0,3633579.0
Benin,SSP3_3p0,Water-1|EV10,0.0,0.0
Botswana,SSP3_3p0,Water-1|EV10,321074.0,316808.0
Central African Republic,SSP3_3p0,Water-1|EV10,0.0,0.0
Cameroon,SSP3_3p0,Water-1|EV10,1926592.0,2215987.0
Congo,SSP3_3p0,Water-1|EV10,0.0,0.0
Comoros,SSP3_3p0,Water-1|EV10,0.0,0.0
Cape Verde,SSP3_3p0,Water-1|EV10,219856.0,213305.0
Djibouti,SSP3_3p0,Water-1|EV10,525650.0,470404.0
Algeria,SSP3_3p0,Water-1|EV10,19573904.0,23094924.0
Egypt,SSP3_3p0,Water-1|EV10,14970746.0,8387544.0
Eritrea,SSP3_3p0,Water-1|EV10,4437423.0,6194421.0
Western Sahara,SSP3_3p0,Water-1|EV10,65332.0,51627.0
Ethiopia,SSP3_3p0,Water-1|EV10,22216904.0,27435807.0
Gabon,SSP3_3p0,Water-1|EV10,0.0,0.0
Ghana,SSP3_3p0,Water-1|EV10,10367632.0,10895870.0
Guinea,SSP3_3p0,Water-1|EV10,0.0,0.0
Gambia,SSP3_3p0,Water-1|EV10,1141462.0,1475555.0
Equatorial Guinea,SSP3_3p0,Water-1|EV10,0.0,0.0
Kenya,SSP3_3p0,Water-1|EV10,7020213.0,8516985.0
Liberia,SSP3_3p0,Water-1|EV10,0.0,0.0
Libya,SSP3_3p0,Water-1|EV10,356890.0,318806.0
Lesotho,SSP3_3p0,Water-1|EV10,81073.0,71966.0
Morocco,SSP3_3p0,Water-1|EV10,14264748.0,10443427.0
Madagascar,SSP3_3p0,Water-1|EV10,7545583.0,9548456.0
Mali,SSP3_3p0,Water-1|EV10,7690572.0,10636610.0
Mozambique,SSP3_3p0,Water-1|EV10,2333664.0,3424184.0
Mauritania,SSP3_3p0,Water-1|EV10,1662874.0,1768120.0
Mauritius,SSP3_3p0,Water-1|EV10,19767.0,11243.0
Malawi,SSP3_3p0,Water-1|EV10,4708375.0,7329919.0
Namibia,SSP3_3p0,Water-1|EV10,224909.0,224669.0
Niger,SSP3_3p0,Water-1|EV10,17083028.0,32935733.0
Nigeria,SSP3_3p0,Water-1|EV10,62021333.0,82119759.0
Rwanda,SSP3_3p0,Water-1|EV10,8046092.0,10651691.0
Sudan,SSP3_3p0,Water-1|EV10,16888855.0,21498847.0
Senegal,SSP3_3p0,Water-1|EV10,10844719.0,13650888.0
Sierra Leone,SSP3_3p0,Water-1|EV10,0.0,0.0
Somalia,SSP3_3p0,Water-1|EV10,1343350.0,1806185.0
Sao Tome and Principe,SSP3_3p0,Water-1|EV10,0.0,0.0
Swaziland,SSP3_3p0,Water-1|EV10,0.0,0.0
Seychelles,SSP3_3p0,Water-1|EV10,0.0,0.0
Chad,SSP3_3p0,Water-1|EV10,417804.0,551470.0
Togo,SSP3_3p0,Water-1|EV10,0.0,0.0
Tunisia,SSP3_3p0,Water-1|EV10,1880685.0,1104755.0
Uganda,SSP3_3p0,Water-1|EV10,8353179.0,12020129.0
South Africa,SSP3_3p0,Water-1|EV10,14514078.0,14304619.0
Zambia,SSP3_3p0,Water-1|EV10,2212857.0,2750686.0
Zimbabwe,SSP3_3p0,Water-1|EV10,4596055.0,4514919.0
