Year,Tunisia,Egypt,Eritrea,Sudan,Gambia,Ethiopia,Nigeria,Algeria,South Sudan,Cameroon,Mali,Senegal,Libya,Ghana,Morocco,Guinea,Somalia,Chad,Benin,Burkina,Niger,Central African Republic,Togo,Sierra Leone,Uganda,Mauritius,Burundi,Djibouti,Kenya,Zimbabwe,Liberia,Lesotho,Zambia,Mauritania,Madagascar,Malawi,Mozambique,Comoros,Tanzania,South Africa,Cape Verde,Equatorial Guinea,Angola,Gabon,Namibia,Rwanda
2009-01-31,686,158,16,2,2,0,200,31,0,0,5,1,1,15,89,1,162,0,0,1,1,0,4,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,46,0,0
2009-02-28,195,36,1,3,0,1,36,20,0,1,2,0,0,1,33,0,722,0,0,1,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-31,372,89,14,2,7,0,580,35,0,3,39,3,0,110,120,13,933,0,1,14,6,0,7,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-30,12,76,80,6,15,18,645,17,0,4,34,2,0,79,37,8,816,0,0,27,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-31,70,2,0,5,24,0,176,95,0,0,61,4,1,4,22,8,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-30,21,0,0,0,0,0,0,41,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-31,27,2,118,0,2,0,7,170,0,0,21,0,2,0,13,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-31,91,52,56,2,0,1,4,76,0,0,1,0,4,3,18,2,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-30,43,5,215,1,0,2,3,18,0,0,2,1,0,0,38,1,88,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-31,60,38,385,1,0,9,4,39,0,0,0,0,1,1,64,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-30,33,0,199,0,0,0,0,6,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-31,14,6,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-31,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-31,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-30,29,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-31,36,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-30,85,20,0,0,0,0,0,50,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-31,88,114,48,1,1,2,0,64,0,0,1,0,6,0,4,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-31,159,2,1,1,0,0,1,45,0,0,0,0,2,0,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-30,160,141,0,0,0,0,0,64,0,0,0,0,4,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-31,30,163,0,0,0,0,0,42,0,0,0,0,4,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-30,8,65,0,0,0,0,0,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-31,32,62,0,0,0,0,0,5,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-31,253,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-28,5599,94,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-31,14390,224,534,6,5,87,12,0,0,0,16,0,0,0,0,0,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-30,3507,328,46,65,61,16,273,0,0,20,158,39,2,147,1,41,172,11,4,75,5,820,29,8,0,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-31,609,115,38,200,73,10,1720,52,0,57,1003,176,53,1144,71,209,350,109,14,318,8,2383,91,37,3,0,0,0,0,0,26,0,0,20,0,0,0,0,2,1,0,0,0,3,0,0
2011-06-30,171,209,23,186,23,3,1068,21,0,24,692,112,60,769,80,134,200,241,17,89,3,347,33,9,0,0,2,0,0,2,15,0,0,14,0,0,0,0,0,0,0,0,2,2,0,0
2011-07-31,253,288,2,128,16,0,808,26,0,30,226,57,27,283,36,52,38,139,8,45,0,0,11,3,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-31,1539,63,14,119,116,8,2196,111,0,3,300,44,65,272,79,78,150,179,11,33,0,973,17,12,0,0,0,0,1,0,5,1,0,7,0,0,0,0,0,1,0,0,1,0,0,0
2011-09-30,1578,63,0,0,0,0,0,35,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-31,50,228,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-30,33,164,1,0,0,0,0,42,0,0,0,0,4,0,4,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-31,0,142,0,0,0,0,0,28,0,0,0,0,5,0,15,0,47,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-31,21,177,0,0,0,0,0,0,0,0,0,0,0,0,2,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-29,44,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-31,276,0,39,0,0,0,0,0,0,0,0,0,3,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-30,104,52,0,0,0,0,0,6,0,0,0,0,1,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-31,165,218,70,1,0,0,0,3,0,0,0,0,15,0,16,0,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
