x,y,Country,region_name,SSP1_1p5_Score,SSP1_2p0_Score,SSP1_3p0_Score
9.75,37.25,Tunisia,Bizerte,1.56,1.56,1.56
3.25,36.75,Algeria,BoumerdÃ¨s,1.56,1.56,1.56
3.75,36.75,Algeria,BoumerdÃ¨s,1.56,1.56,1.56
4.25,36.75,Algeria,Tizi Ouzou,1.56,1.56,1.56
4.75,36.75,Algeria,BÃ©jaÃ¯a,1.56,1.56,1.56
5.75,36.75,Algeria,Jijel,1.56,1.56,1.56
6.25,36.75,Algeria,Jijel,1.56,1.56,1.56
6.75,36.75,Algeria,Skikda,1.56,1.56,1.56
7.25,36.75,Algeria,Skikda,1.56,1.56,1.56
7.75,36.75,Algeria,El Tarf,1.56,1.56,1.56
8.25,36.75,Algeria,El Tarf,0.56,1.56,1.56
8.75,36.75,Tunisia,Jendouba,1.56,1.56,1.56
9.25,36.75,Tunisia,BÃ©ja,1.56,1.56,1.56
9.75,36.75,Tunisia,Manubah,4.56,1.56,1.56
10.25,36.75,Tunisia,Ben Arous (Tunis Sud),1.56,1.56,1.56
10.75,36.75,Tunisia,Nabeul,1.56,1.56,1.56
0.75,36.25,Algeria,Chlef,1.56,1.56,1.56
1.25,36.25,Algeria,Chlef,1.56,1.56,1.56
1.75,36.25,Algeria,AÃ¯n Defla,1.56,1.56,1.56
2.25,36.25,Algeria,AÃ¯n Defla,1.56,1.56,1.56
2.75,36.25,Algeria,MÃ©dÃ©a,1.56,1.56,1.56
3.25,36.25,Algeria,MÃ©dÃ©a,1.56,1.56,1.56
3.75,36.25,Algeria,Bouira,1.56,1.56,1.56
4.25,36.25,Algeria,Bouira,1.56,1.56,1.56
4.75,36.25,Algeria,Bordj Bou ArrÃ©ridj,1.56,1.56,1.56
5.25,36.25,Algeria,SÃ©tif,1.56,1.56,1.56
5.75,36.25,Algeria,SÃ©tif,1.56,1.56,1.56
6.25,36.25,Algeria,Mila,1.56,1.56,1.56
6.75,36.25,Algeria,Constantine,1.56,1.56,1.56
7.25,36.25,Algeria,Guelma,1.56,1.56,1.56
7.75,36.25,Algeria,Souk Ahras,1.56,1.56,1.56
8.25,36.25,Algeria,Souk Ahras,1.56,1.56,1.56
8.75,36.25,Tunisia,Le Kef,1.56,1.56,1.56
9.25,36.25,Tunisia,Siliana,1.56,1.56,1.56
9.75,36.25,Tunisia,Zaghouan,1.56,1.56,1.56
10.25,36.25,Tunisia,Zaghouan,1.56,1.56,1.56
-5.75,35.75,Morocco,Tanger - TÃ©touan,1.56,1.56,1.56
-0.75,35.75,Algeria,Oran,1.56,1.56,1.56
-0.25,35.75,Algeria,Oran,1.56,1.56,1.56
0.25,35.75,Algeria,Mostaganem,1.56,1.56,1.56
0.75,35.75,Algeria,Relizane,1.56,1.56,1.56
1.25,35.75,Algeria,Relizane,1.56,1.56,1.56
1.75,35.75,Algeria,Tissemsilt,1.56,1.56,1.56
2.25,35.75,Algeria,MÃ©dÃ©a,1.56,1.56,1.56
2.75,35.75,Algeria,MÃ©dÃ©a,4.56,1.56,1.56
3.25,35.75,Algeria,Djelfa,1.56,1.56,1.56
3.75,35.75,Algeria,M'Sila,1.56,1.56,1.56
4.25,35.75,Algeria,M'Sila,1.56,1.56,1.56
4.75,35.75,Algeria,M'Sila,1.56,1.56,1.56
5.25,35.75,Algeria,SÃ©tif,1.56,1.56,1.56
5.75,35.75,Algeria,Batna,1.56,1.56,1.56
6.25,35.75,Algeria,Batna,1.56,1.56,1.56
6.75,35.75,Algeria,Oum el Bouaghi,1.56,1.56,1.56
7.25,35.75,Algeria,Oum el Bouaghi,1.56,1.56,1.56
7.75,35.75,Algeria,Oum el Bouaghi,1.56,1.56,1.56
8.25,35.75,Algeria,TÃ©bessa,1.56,1.56,1.56
8.75,35.75,Tunisia,KassÃ©rine,1.56,1.56,1.56
9.25,35.75,Tunisia,Siliana,9.56,1.56,1.56
9.75,35.75,Tunisia,Kairouan,1.56,1.56,1.56
10.25,35.75,Tunisia,Sousse,1.56,1.56,1.56
10.75,35.75,Tunisia,Monastir,1.56,1.56,1.56
-5.75,35.25,Morocco,Tanger - TÃ©touan,1.56,1.56,1.56
-5.25,35.25,Morocco,Tanger - TÃ©touan,1.56,1.56,1.56
-3.75,35.25,Morocco,Oriental,1.56,1.56,0.412671627698386
-1.25,35.25,Algeria,AÃ¯n TÃ©mouchent,1.56,1.56,1.56
-0.75,35.25,Algeria,Sidi Bel AbbÃ¨s,1.56,1.56,1.56
-0.25,35.25,Algeria,Sidi Bel AbbÃ¨s,1.56,1.56,1.56
0.25,35.25,Algeria,Mascara,1.56,1.56,1.56
0.75,35.25,Algeria,Tiaret,1.56,1.56,1.56
1.25,35.25,Algeria,Tiaret,1.56,1.56,1.56
1.75,35.25,Algeria,Tiaret,8.56,1.56,1.56
2.25,35.25,Algeria,Tiaret,1.56,1.56,1.56
2.75,35.25,Algeria,Djelfa,1.56,1.56,1.56
3.25,35.25,Algeria,Djelfa,1.56,1.56,1.56
3.75,35.25,Algeria,M'Sila,1.56,1.56,1.56
4.25,35.25,Algeria,M'Sila,1.56,1.56,1.56
4.75,35.25,Algeria,M'Sila,1.56,1.56,1.56
5.25,35.25,Algeria,Batna,1.56,1.56,1.56
5.75,35.25,Algeria,Biskra,1.56,1.56,1.56
6.25,35.25,Algeria,Batna,1.56,1.56,1.56
6.75,35.25,Algeria,Khenchela,1.56,1.56,1.56
7.25,35.25,Algeria,Khenchela,1.56,1.56,1.56
7.75,35.25,Algeria,TÃ©bessa,1.56,1.56,1.56
8.25,35.25,Algeria,TÃ©bessa,1.56,1.56,1.56
8.75,35.25,Tunisia,KassÃ©rine,1.56,1.56,1.56
9.25,35.25,Tunisia,Sidi Bou Zid,1.56,1.56,1.56
9.75,35.25,Tunisia,Kairouan,1.56,1.56,1.56
10.25,35.25,Tunisia,Mahdia,1.56,1.56,1.56
10.75,35.25,Tunisia,Mahdia,1.56,1.56,1.56
-6.25,34.75,Morocco,Gharb - Chrarda - BÃ©ni Hssen,1.56,1.56,1.56
-5.75,34.75,Morocco,Gharb - Chrarda - BÃ©ni Hssen,1.56,1.56,1.56
-5.25,34.75,Morocco,Tanger - TÃ©touan,1.56,1.56,1.56
-4.75,34.75,Morocco,Taza - Al Hoceima - Taounate,1.56,1.56,1.56
-4.25,34.75,Morocco,Taza - Al Hoceima - Taounate,1.56,1.56,0.412671627698386
-3.75,34.75,Morocco,Taza - Al Hoceima - Taounate,1.56,1.56,0.412671627698386
-3.25,34.75,Morocco,Taza - Al Hoceima - Taounate,1.56,1.56,0.412671627698386
-2.75,34.75,Morocco,Oriental,1.56,1.56,1.56
-2.25,34.75,Morocco,Oriental,1.56,1.56,1.56
-1.75,34.75,Algeria,Tlemcen,1.56,1.56,1.56
-1.25,34.75,Algeria,Tlemcen,1.56,1.56,1.56
-0.75,34.75,Algeria,Sidi Bel AbbÃ¨s,1.56,1.56,1.56
