Year,Tunisia,Senegal,Namibia,Libya,Kenya,Equatorial Guinea,Algeria,Angola,Benin,Chad,Botswana,Burkina,Burundi,Cameroon,Cape Verde,Central African Republic,Comoros,Djibouti,Egypt,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Lesotho,Liberia,Malawi,Mali,Mauritania,Morocco,Mozambique,Niger,Nigeria,Rwanda,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Tanzania,Togo,Uganda,Western Sahara,Zambia,Zimbabwe
2009-01-31,0,0,1,0,6,0,21,0,6,3,1,14,0,3,0,0,0,2,0,1,1,1,2,2,8,0,2,0,0,0,0,0,1,11,0,3,2,0,0,9,2,1,0,0,0,3
2009-02-28,0,1,0,0,3,0,100,0,2,4,0,18,0,7,0,0,0,0,0,2,0,0,2,8,14,0,1,0,0,0,5,0,4,9,1,0,3,0,0,7,0,5,0,0,0,2
2009-03-31,0,1,0,0,0,0,68,0,4,5,0,21,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,12,0,7,0,0,0,0,0,0,4,0,1,0,0,0,0
2009-04-30,1,0,0,0,0,0,249,0,1,4,0,20,0,8,0,0,0,0,0,0,0,2,1,4,10,0,0,0,0,0,42,0,10,0,0,0,0,0,0,0,0,2,1,0,0,0
2009-05-31,0,0,0,0,1,0,247,0,3,9,0,27,0,23,0,1,0,0,0,1,0,2,7,11,34,0,1,0,1,0,3,0,14,16,0,0,2,0,0,3,0,5,3,0,1,3
2009-06-30,0,0,0,0,3,0,516,0,2,6,0,8,0,14,0,1,0,0,0,0,2,1,2,3,9,0,1,0,1,0,10,0,2,1,0,4,9,0,0,3,0,1,4,0,0,3
2009-07-31,0,0,0,0,2,0,378,0,0,4,0,11,0,17,0,0,0,0,0,6,1,2,9,1,7,0,1,0,0,0,25,0,1,28,2,3,7,0,0,8,0,1,3,0,0,7
2009-08-31,0,0,0,0,8,0,304,0,2,19,0,22,1,37,0,5,0,0,0,2,1,3,13,11,29,1,3,0,0,0,13,0,5,12,5,6,5,1,0,6,3,3,4,0,0,17
2009-09-30,0,0,1,0,2,0,128,0,2,1,0,0,0,6,0,1,0,0,0,4,1,0,13,14,6,0,0,3,0,0,84,0,5,3,8,8,7,0,0,11,3,2,7,0,0,8
2009-10-31,0,0,0,0,2,0,803,0,3,3,0,9,0,2,0,1,0,0,0,2,1,2,3,13,4,0,2,0,0,0,50,0,2,3,1,2,2,0,0,6,0,4,2,0,0,0
2009-11-30,0,0,0,0,0,0,186,0,2,6,0,14,0,3,1,0,0,0,0,0,0,2,13,5,27,0,0,0,0,0,3,0,3,0,0,0,1,0,0,3,0,1,0,0,0,0
2009-12-31,0,0,0,0,0,0,190,0,1,0,0,5,0,2,0,0,0,0,0,0,0,1,5,2,16,0,0,0,1,0,7,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0
2010-01-31,0,0,0,0,0,0,65,0,1,2,0,11,0,1,0,0,0,0,0,0,0,1,1,7,14,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-31,0,0,0,0,0,0,53,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,15,0,16,0,0,0,0,0,3,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0
2010-04-30,0,1,0,0,3,0,20,0,3,1,0,6,0,19,0,0,0,0,0,0,0,1,1,11,11,0,0,0,3,0,21,0,0,4,0,4,0,0,0,1,1,1,1,0,0,0
2010-05-31,0,0,0,0,1,0,80,0,1,4,0,10,0,19,0,0,0,0,0,1,0,0,7,2,20,0,1,0,0,0,8,0,3,8,0,6,0,0,0,4,0,0,2,0,1,4
2010-06-30,0,2,0,0,0,0,123,0,2,1,0,13,0,32,0,1,0,0,0,0,0,1,7,48,15,0,1,0,1,0,3,0,19,1,0,0,3,0,0,2,0,9,0,0,0,5
2010-07-31,0,0,0,0,0,0,142,0,0,5,0,8,0,27,0,0,0,0,0,0,0,0,10,9,20,0,1,0,1,0,44,0,4,55,0,2,0,0,0,0,2,0,0,0,0,0
2010-08-31,1,0,0,2,1,4,179,0,1,21,0,17,1,86,0,4,0,0,0,1,0,3,27,22,70,0,3,0,4,0,70,0,18,23,0,2,1,0,0,9,0,3,5,0,0,8
2010-09-30,0,2,0,0,0,0,248,0,1,5,1,15,0,53,0,4,0,0,0,3,0,2,27,17,34,0,5,1,3,0,65,0,11,27,0,10,1,0,0,4,0,2,0,0,0,3
2010-10-31,0,1,0,0,0,0,217,0,1,3,0,4,0,11,0,1,0,0,0,0,0,0,10,6,14,0,2,1,4,0,50,0,1,17,0,4,1,0,0,3,0,1,2,0,1,0
2010-11-30,0,0,0,0,0,0,4,0,1,1,0,27,0,1,0,0,0,0,0,1,0,3,14,11,24,0,2,1,4,0,19,0,5,16,1,4,1,0,0,8,1,1,2,0,0,2
2010-12-31,0,0,0,0,1,0,111,0,1,3,0,4,0,5,0,0,0,0,0,1,0,0,3,69,13,0,3,0,0,0,7,0,5,26,0,0,4,0,0,2,1,5,2,0,0,1
2011-01-31,0,1,0,1,2,0,139,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,7,29,23,0,0,2,2,0,16,0,5,29,0,1,1,0,0,2,1,1,2,0,1,1
2011-02-28,0,0,0,0,0,0,55,0,4,7,0,0,0,2,0,0,0,0,0,1,0,0,6,17,8,0,0,0,0,0,18,0,2,15,0,1,4,0,0,4,3,0,0,0,0,1
2011-03-31,0,0,0,0,0,0,0,0,0,5,0,10,0,4,0,0,0,0,0,0,0,1,4,1,20,0,0,0,0,0,9,0,5,0,0,0,0,0,0,6,0,1,0,0,0,0
2011-04-30,3,0,0,0,0,0,31,0,3,10,0,4,0,7,0,4,0,0,0,0,0,0,4,14,2,0,0,0,0,0,34,0,5,0,2,1,0,0,0,2,0,5,0,0,0,0
2011-05-31,0,1,0,1,3,0,67,1,3,25,0,14,0,13,0,4,0,0,0,2,0,1,41,3,19,0,6,1,11,0,2,0,8,35,1,7,1,0,0,1,0,1,2,0,0,1
2011-06-30,0,1,0,2,0,0,103,0,2,40,0,5,0,32,0,19,0,0,0,1,0,5,14,2,27,0,1,0,4,0,59,0,9,8,0,0,20,0,0,3,0,0,0,0,1,0
2011-07-31,0,3,0,7,3,0,72,1,9,57,1,36,1,28,1,44,0,0,0,1,3,24,53,9,69,0,13,0,6,1,162,0,30,78,3,4,7,1,0,18,0,13,1,0,3,3
2011-08-31,0,6,0,6,0,0,132,7,2,41,0,10,1,50,0,15,0,0,0,3,1,10,47,12,58,0,5,2,14,4,140,0,18,44,5,5,2,0,0,6,0,7,4,0,1,5
2011-09-30,0,1,0,8,1,0,136,7,2,17,0,11,0,14,0,4,0,0,0,0,0,5,14,4,47,0,1,0,5,0,72,0,8,22,7,3,5,0,0,4,0,3,0,0,0,0
2011-10-31,1,2,0,9,1,1,214,5,6,15,0,31,0,18,0,2,0,0,0,2,0,1,16,15,59,0,4,1,19,3,123,0,17,31,2,9,7,0,0,5,0,9,5,1,2,2
2011-11-30,0,1,0,2,0,1,23,4,0,6,0,15,0,11,0,7,0,0,0,0,0,6,5,5,37,0,1,0,16,3,87,0,8,1,4,2,3,0,0,0,0,1,0,0,0,0
