id,Continent,Country,value,Number_of_immigrants,Proportion 
DZ,Northern Africa,Algeria,Yes,133,2.1
AO,Middle Africa,Angola,Yes,1,0
BJ,Western Africa,Benin,Yes,11,0.2
BW,Southern Africa,Botswana,Yes,2,0
BF,Western Africa,Burkina Faso,Yes,9,0.1
BI,Eastern Africa,Burundi,Yes,1,0
CV,Western Africa,Cabo Verde,Yes,95,1.5
CM,Middle Africa,Cameroon,Yes,1233,19.3
CF,Middle Africa,Central African Republic,Yes,2020,31.7
TD,Middle Africa,Chad,Yes,530,8.3
KM,Eastern Africa,Comoros,Yes,19,0.3
CG,Middle Africa,Congo,Yes,5,0.1
CI,Western Africa,Côte d'Ivoire,Yes,27,0.4
CD,Middle Africa,Democratic Republic of the Congo,Yes,1,0
DJ,Eastern Africa,Djibouti,Yes,5,0.1
EG,Northern Africa,Egypt,Yes,1,0
GQ,Middle Africa,Equatorial Guinea,Yes,2,0
ER,Eastern Africa,Eritrea,Yes,133,2.1
SZ,Southern Africa,Eswatini,Yes,10,0.2
ET,Eastern Africa,Ethiopia,Yes,3,0
GA,Middle Africa,Gabon,Yes,32,0.5
GM,Western Africa,Gambia,Yes,50,0.8
GH,Western Africa,Ghana,Yes,6,0.1
GN,Western Africa,Guinea,Yes,11,0.2
GW,Western Africa,Guinea-Bissau,Yes,86,1.3
KE,Eastern Africa,Kenya,Yes,129,2
LS,Southern Africa,Lesotho,Yes,1762,27.6
LR,Western Africa,Liberia,Yes,12,0.2
LY,Northern Africa,Libya,Yes,50,0.8
MG,Eastern Africa,Madagascar,Yes,1,0
MW,Eastern Africa,Malawi,Yes,1,0
ML,Western Africa,Mali,No,0,0
MR,Western Africa,Mauritania,No,0,0
MU,Eastern Africa,Mauritius,No,0,0
YT,Eastern Africa,Mayotte,No,0,0
MA,Northern Africa,Morocco,No,0,0
MZ,Eastern Africa,Mozambique,No,0,0
NA,Southern Africa,Namibia,No,0,0
NE,Western Africa,Niger,No,0,0
NG,Western Africa,Nigeria,No,0,0
RE,Eastern Africa,Réunion,No,0,0
RW,Eastern Africa,Rwanda,No,0,0
SH,Western Africa,Saint Helena,No,0,0
ST,Middle Africa,Sao Tome and Principe,No,0,0
SN,Western Africa,Senegal,No,0,0
SC,Eastern Africa,Seychelles,No,0,0
SL,Western Africa,Sierra Leone,No,0,0
SO,Eastern Africa,Somalia,No,0,0
ZA,Southern Africa,South Africa,No,0,0
SS,Eastern Africa,South Sudan,No,0,0
SD,Northern Africa,Sudan,No,0,0
TG,Western Africa,Togo,No,0,0
TN,Northern Africa,Tunisia,No,0,0
UG,Eastern Africa,Uganda,,,
TZ,Eastern Africa,United Republic of Tanzania,,,
EH,Northern Africa,Western Sahara,,,
ZM,Eastern Africa,Zambia,,,
ZW,Eastern Africa,Zimbabwe,,,
