x,y,Country,region_name,SSP3_1p5_Score,SSP3_2p0_Score,SSP3_3p0_Score
9.75,37.25,Tunisia,Bizerte,1.70561121763339,2.5921246985887,1.21980817577038
3.25,36.75,Algeria,BoumerdÃ¨s,1.64099761553383,0.0,2.89777691080617
3.75,36.75,Algeria,BoumerdÃ¨s,0.0,0.0,0.33785989285748
4.25,36.75,Algeria,Tizi Ouzou,0.0,0.0,0.33785989285748
4.75,36.75,Algeria,BÃ©jaÃ¯a,0.0,0.0,0.33785989285748
5.75,36.75,Algeria,Jijel,0.0,0.0,1.15226523687544
6.25,36.75,Algeria,Jijel,0.0,0.0,1.15226523687544
6.75,36.75,Algeria,Skikda,0.0,0.0,1.15226523687544
7.25,36.75,Algeria,Skikda,0.0,0.0,1.15226523687544
7.75,36.75,Algeria,El Tarf,0.927057837725241,2.21289190194141,2.16859971620963
8.25,36.75,Algeria,El Tarf,0.927057837725241,2.21289190194141,2.16859971620963
8.75,36.75,Tunisia,Jendouba,1.88702644291661,3.0,3.0
9.25,36.75,Tunisia,BÃ©ja,1.88702644291661,3.0,3.0
9.75,36.75,Tunisia,Manubah,1.70561121763339,2.5921246985887,1.21980817577038
10.25,36.75,Tunisia,Ben Arous (Tunis Sud),1.70561121763339,2.5921246985887,1.21980817577038
10.75,36.75,Tunisia,Nabeul,1.70561121763339,2.5921246985887,1.21980817577038
0.75,36.25,Algeria,Chlef,0.0,0.0,0.0
1.25,36.25,Algeria,Chlef,0.0,0.0,0.0
1.75,36.25,Algeria,AÃ¯n Defla,1.64099761553383,0.0,2.89777691080617
2.25,36.25,Algeria,AÃ¯n Defla,1.64099761553383,0.0,2.89777691080617
2.75,36.25,Algeria,MÃ©dÃ©a,1.64099761553383,0.0,2.89777691080617
3.25,36.25,Algeria,MÃ©dÃ©a,1.64099761553383,0.0,2.89777691080617
3.75,36.25,Algeria,Bouira,0.0,0.0,0.33785989285748
4.25,36.25,Algeria,Bouira,0.0,0.0,0.33785989285748
4.75,36.25,Algeria,Bordj Bou ArrÃ©ridj,0.0,0.0,0.33785989285748
5.25,36.25,Algeria,SÃ©tif,0.0,0.0,0.33785989285748
5.75,36.25,Algeria,SÃ©tif,0.0,0.0,1.15226523687544
6.25,36.25,Algeria,Mila,0.0,0.0,1.15226523687544
6.75,36.25,Algeria,Constantine,0.0,0.0,1.15226523687544
7.25,36.25,Algeria,Guelma,0.0,0.0,1.15226523687544
7.75,36.25,Algeria,Souk Ahras,0.927057837725241,2.21289190194141,2.16859971620963
8.25,36.25,Algeria,Souk Ahras,1.88702644291661,3.0,3.0
8.75,36.25,Tunisia,Le Kef,1.88702644291661,3.0,3.0
9.25,36.25,Tunisia,Siliana,1.88702644291661,3.0,3.0
9.75,36.25,Tunisia,Zaghouan,1.70561121763339,2.5921246985887,1.21980817577038
10.25,36.25,Tunisia,Zaghouan,1.70561121763339,2.5921246985887,1.21980817577038
-5.75,35.75,Morocco,Tanger - TÃ©touan,3.0,2.51684720249945,1.19844789638575
-0.75,35.75,Algeria,Oran,0.306431291774189,0.0,1.32509198495714
-0.25,35.75,Algeria,Oran,0.876752363012786,2.87964156683111,3.0
0.25,35.75,Algeria,Mostaganem,0.876752363012786,2.87964156683111,3.0
0.75,35.75,Algeria,Relizane,0.876752363012786,2.87964156683111,3.0
1.25,35.75,Algeria,Relizane,0.876752363012786,2.87964156683111,3.0
1.75,35.75,Algeria,Tissemsilt,0.0,0.709759891372018,1.89808572328196
2.25,35.75,Algeria,MÃ©dÃ©a,0.0,0.709759891372018,1.89808572328196
2.75,35.75,Algeria,MÃ©dÃ©a,0.0,0.709759891372018,1.89808572328196
3.25,35.75,Algeria,Djelfa,0.0,0.709759891372018,1.89808572328196
3.75,35.75,Algeria,M'Sila,2.25086779200996,3.0,1.13328505883933
4.25,35.75,Algeria,M'Sila,2.25086779200996,3.0,1.13328505883933
4.75,35.75,Algeria,M'Sila,2.25086779200996,3.0,1.13328505883933
