x,y,Country,region_name,SSP3_1p5_Score,SSP3_2p0_Score,SSP3_3p0_Score
9.75,37.25,Tunisia,Bizerte,2.37448640359986,3.0,3.0
3.25,36.75,Algeria,BoumerdÃ¨s,3.0,3.0,3.0
3.75,36.75,Algeria,BoumerdÃ¨s,1.78536148177039,2.93762405360899,3.0
4.25,36.75,Algeria,Tizi Ouzou,1.47306774556637,2.67733109862574,3.0
4.75,36.75,Algeria,BÃ©jaÃ¯a,0.0,0.0996105306811872,0.732127654055754
5.75,36.75,Algeria,Jijel,0.0,0.340887536805483,1.04817278170457
6.25,36.75,Algeria,Jijel,0.0,0.0,0.190332988257049
6.75,36.75,Algeria,Skikda,2.72356401191604,3.0,3.0
7.25,36.75,Algeria,Skikda,0.807952039184109,1.74388747181623,2.77990841625198
7.75,36.75,Algeria,El Tarf,3.0,3.0,3.0
8.25,36.75,Algeria,El Tarf,0.279290471225977,1.12145959922383,2.07197522331951
8.75,36.75,Tunisia,Jendouba,0.236989611699697,0.741726626071238,1.39232607826751
9.25,36.75,Tunisia,BÃ©ja,0.0,0.0,0.190090251145183
9.75,36.75,Tunisia,Manubah,0.855793735192668,1.52805041449685,2.10680177263034
10.25,36.75,Tunisia,Ben Arous (Tunis Sud),3.0,3.0,3.0
10.75,36.75,Tunisia,Nabeul,3.0,3.0,3.0
0.75,36.25,Algeria,Chlef,3.0,3.0,3.0
1.25,36.25,Algeria,Chlef,0.88087666130835,1.24834299928719,2.47700325311512
1.75,36.25,Algeria,AÃ¯n Defla,0.616370075412335,0.884404822703331,1.89666364269872
2.25,36.25,Algeria,AÃ¯n Defla,0.0,0.0,0.0
2.75,36.25,Algeria,MÃ©dÃ©a,0.527291702407021,1.09794323218446,2.45321475297854
3.25,36.25,Algeria,MÃ©dÃ©a,0.831504806876182,1.67868362895904,2.86353543048264
3.75,36.25,Algeria,Bouira,3.0,3.0,3.0
4.25,36.25,Algeria,Bouira,0.104647380329909,0.63194959682803,1.57043613381283
4.75,36.25,Algeria,Bordj Bou ArrÃ©ridj,0.806955549265108,1.9707339530991,3.0
5.25,36.25,Algeria,SÃ©tif,2.76964340527211,3.0,3.0
5.75,36.25,Algeria,SÃ©tif,1.43175352004267,2.54635811092392,3.0
6.25,36.25,Algeria,Mila,3.0,3.0,3.0
6.75,36.25,Algeria,Constantine,3.0,3.0,3.0
7.25,36.25,Algeria,Guelma,2.46984860469257,3.0,3.0
7.75,36.25,Algeria,Souk Ahras,1.51099910851448,2.66502203912504,3.0
8.25,36.25,Algeria,Souk Ahras,0.983329054088362,1.61594285118964,2.46970496719242
8.75,36.25,Tunisia,Le Kef,1.19902522357241,1.98782936844134,2.92458675929936
9.25,36.25,Tunisia,Siliana,3.0,3.0,3.0
9.75,36.25,Tunisia,Zaghouan,2.93755690032436,3.0,3.0
10.25,36.25,Tunisia,Zaghouan,3.0,3.0,3.0
-5.75,35.75,Morocco,Tanger - TÃ©touan,2.21323216874753,3.0,3.0
-0.75,35.75,Algeria,Oran,3.0,3.0,3.0
-0.25,35.75,Algeria,Oran,3.0,3.0,3.0
0.25,35.75,Algeria,Mostaganem,3.0,3.0,3.0
0.75,35.75,Algeria,Relizane,0.695041890586576,1.13253652785094,2.51440908928071
1.25,35.75,Algeria,Relizane,1.43263120180176,2.32228852015349,3.0
1.75,35.75,Algeria,Tissemsilt,3.0,3.0,3.0
