Year,Country,Region,Sex,Age Group,Applications
2018,Albania,Europe Other,Female,18 to 24,1
2018,Albania,Europe Other,Male,18 to 24,1
2018,Albania,Europe Other,Male,25 to 39,4
2018,Albania,Europe Other,Male,18 to 24,1
2018,Ukraine,Europe Other,Female,17 and under,2
2018,Ukraine,Europe Other,Female,25 to 39,1
2018,Ukraine,Europe Other,Male,40 and over,1
2018,Afghanistan,Asia Central,Male,18 to 24,1
2018,Afghanistan,Asia Central,Male,25 to 39,1
2018,Iran,Middle East,Female,25 to 39,1
2018,Iran,Middle East,Male,18 to 24,1
2018,Iran,Middle East,Male,25 to 39,3
2018,Iraq,Middle East,Female,25 to 39,1
2018,Iraq,Middle East,Male,17 and under,1
2018,Iraq,Middle East,Male,25 to 39,2
2018,Vietnam,Asia South East,Male,18 to 24,2
2018,Vietnam,Asia South East,Male,25 to 39,2
2018,Albania,Europe Other,Male,18 to 24,1
2018,Albania,Europe Other,Male,40 and over,1
2018,Afghanistan,Asia Central,Female,17 and under,1
2018,Albania,Europe Other,Male,25 to 39,1
2018,Albania,Europe Other,Male,40 and over,1
2018,Iran,Middle East,Female,17 and under,1
2018,Iran,Middle East,Female,25 to 39,4
2018,Iran,Middle East,Male,17 and under,5
2018,Iran,Middle East,Female,18 to 24,1
2018,Iran,Middle East,Female,25 to 39,4
2018,Iran,Middle East,Female,40 and over,1
2018,Iran,Middle East,Male,17 and under,1
2018,Iran,Middle East,Male,18 to 24,24
2018,Iran,Middle East,Male,25 to 39,157
2018,Iran,Middle East,Male,40 and over,30
2018,Iran,Middle East,Male,17 and under,5
2018,Iraq,Middle East,Female,17 and under,5
2018,Iraq,Middle East,Female,25 to 39,3
2018,Iraq,Middle East,Male,17 and under,3
2018,Iraq,Middle East,Male,18 to 24,7
2018,Iraq,Middle East,Male,25 to 39,10
2018,Iraq,Middle East,Male,17 and under,1
2018,Syria,Middle East,Male,25 to 39,1
2018,Albania,Europe Other,Male,18 to 24,1
2018,Albania,Europe Other,Male,25 to 39,4
2019,Iran,Middle East,Female,17 and under,4
2019,Iran,Middle East,Female,18 to 24,1
2019,Iran,Middle East,Female,25 to 39,3
2019,Iran,Middle East,Male,17 and under,3
2019,Iran,Middle East,Male,25 to 39,1
2019,Iran,Middle East,Female,25 to 39,2
2019,Iran,Middle East,Female,40 and over,1
2019,Iran,Middle East,Male,18 to 24,14
2019,Iran,Middle East,Male,25 to 39,84
2019,Iran,Middle East,Male,40 and over,12
2019,Iran,Middle East,Male,17 and under,4
2019,Iraq,Middle East,Female,17 and under,7
2019,Iraq,Middle East,Female,25 to 39,6
2019,Iraq,Middle East,Female,40 and over,1
2019,Iraq,Middle East,Male,17 and under,6
2019,Iraq,Middle East,Female,25 to 39,1
2019,Iraq,Middle East,Male,18 to 24,18
2019,Iraq,Middle East,Male,25 to 39,20
2019,Iraq,Middle East,Male,40 and over,3
2019,Iraq,Middle East,Male,17 and under,7
2019,Iraq,Middle East,Male,25 to 39,1
2019,Afghanistan,Asia Central,Male,18 to 24,3
2019,Afghanistan,Asia Central,Male,25 to 39,2
2019,Afghanistan,Asia Central,Male,40 and over,1
2019,Afghanistan,Asia Central,Male,17 and under,4
2019,Albania,Europe Other,Male,18 to 24,1
2019,Albania,Europe Other,Male,25 to 39,1
2019,Iran,Middle East,Female,17 and under,2
2019,Iran,Middle East,Female,25 to 39,1
2019,Iran,Middle East,Male,17 and under,8
2019,Iran,Middle East,Male,40 and over,2
2019,Iran,Middle East,Female,18 to 24,1
2019,Iran,Middle East,Female,25 to 39,3
2019,Iran,Middle East,Female,40 and over,4
2019,Iran,Middle East,Male,18 to 24,36
2019,Iran,Middle East,Male,25 to 39,124
2019,Iran,Middle East,Male,40 and over,30
2019,Iran,Middle East,Male,17 and under,8
2019,Iraq,Middle East,Female,17 and under,27
2019,Iraq,Middle East,Female,18 to 24,2
2019,Iraq,Middle East,Female,25 to 39,14
2019,Iraq,Middle East,Female,40 and over,1
2019,Iraq,Middle East,Male,17 and under,17
2019,Iraq,Middle East,Male,25 to 39,7
2019,Iraq,Middle East,Female,18 to 24,2
2019,Iraq,Middle East,Female,25 to 39,7
2019,Iraq,Middle East,Female,40 and over,1
2019,Iraq,Middle East,Male,18 to 24,19
2019,Iraq,Middle East,Male,25 to 39,39
2019,Iraq,Middle East,Male,40 and over,4
2019,Iraq,Middle East,Male,17 and under,9
2019,Pakistan,Asia South,Male,18 to 24,2
2019,Pakistan,Asia South,Male,25 to 39,3
2019,Pakistan,Asia South,Male,40 and over,3
2019,Syria,Middle East,Male,18 to 24,1
2019,Tajikistan,Asia Central,Male,25 to 39,1
2019,Albania,Europe Other,Male,25 to 39,1
2019,Iran,Middle East,Male,25 to 39,2
2019,Afghanistan,Asia Central,Male,17 and under,1
2019,Afghanistan,Asia Central,Female,40 and over,1
2019,Afghanistan,Asia Central,Male,18 to 24,9
2019,Afghanistan,Asia Central,Male,25 to 39,19
2019,Afghanistan,Asia Central,Male,40 and over,3
2019,Afghanistan,Asia Central,Male,17 and under,10
2019,Ethiopia,Africa Sub-Saharan,Female,17 and under,2
2019,Ethiopia,Africa Sub-Saharan,Female,25 to 39,1
2019,Ethiopia,Africa Sub-Saharan,Male,17 and under,1
2019,Ethiopia,Africa Sub-Saharan,Male,25 to 39,1
2019,Guinea,Africa Sub-Saharan,Male,17 and under,2
2019,Iran,Middle East,Female,17 and under,12
2019,Iran,Middle East,Female,18 to 24,1
2019,Iran,Middle East,Female,25 to 39,10
2019,Iran,Middle East,Female,40 and over,2
2019,Iran,Middle East,Male,17 and under,16
2019,Iran,Middle East,Male,25 to 39,5
2019,Iran,Middle East,Female,18 to 24,2
2019,Iran,Middle East,Female,25 to 39,17
2019,Iran,Middle East,Female,40 and over,9
2019,Iran,Middle East,Male,18 to 24,51
2019,Iran,Middle East,Male,25 to 39,296
2019,Iran,Middle East,Male,40 and over,49
2019,Iran,Middle East,Male,17 and under,17
2019,Iraq,Middle East,Female,17 and under,22
2019,Iraq,Middle East,Female,18 to 24,1
2019,Iraq,Middle East,Female,25 to 39,8
2019,Iraq,Middle East,Female,40 and over,5
2019,Iraq,Middle East,Male,17 and under,32
2019,Iraq,Middle East,Male,25 to 39,1
2019,Iraq,Middle East,Female,18 to 24,3
2019,Iraq,Middle East,Female,25 to 39,17
2019,Iraq,Middle East,Male,18 to 24,18
2019,Iraq,Middle East,Male,25 to 39,27
2019,Iraq,Middle East,Male,40 and over,10
2019,Iraq,Middle East,Male,17 and under,5
2019,Ivory Coast,Africa Sub-Saharan,Male,17 and under,1
2019,Kuwait,Middle East,Male,25 to 39,1
2019,Kuwait,Middle East,Male,40 and over,1
2019,Lebanon,Middle East,Male,40 and over,1
2019,Mali,Africa Sub-Saharan,Male,17 and under,2
2019,Niger,Africa Sub-Saharan,Male,18 to 24,1
2019,Nigeria,Africa Sub-Saharan,Male,25 to 39,1
2019,Nigeria,Africa Sub-Saharan,Male,17 and under,1
2019,Pakistan,Asia South,Male,18 to 24,4
2019,Pakistan,Asia South,Male,25 to 39,8
2019,Pakistan,Asia South,Male,40 and over,4
2019,Pakistan,Asia South,Male,17 and under,1
2019,Philippines,Asia South East,Female,18 to 24,1
2019,Refugee,Other,Male,18 to 24,3
2019,Refugee,Other,Male,25 to 39,2
2019,Refugee,Other,Male,40 and over,1
2019,Refugee,Other,Male,17 and under,1
2019,Stateless,Other,Male,25 to 39,1
2019,Syria,Middle East,Female,25 to 39,1
2019,Syria,Middle East,Male,18 to 24,1
2019,Syria,Middle East,Male,25 to 39,4
2019,Syria,Middle East,Male,17 and under,1
2019,Tajikistan,Asia Central,Male,17 and under,1
2019,Turkey,Europe Other,Male,18 to 24,1
2019,Turkey,Europe Other,Male,25 to 39,1
2019,Vietnam,Asia South East,Male,18 to 24,2
2019,Vietnam,Asia South East,Male,25 to 39,1
2019,Afghanistan,Asia Central,Male,18 to 24,1
2019,Afghanistan,Asia Central,Male,25 to 39,1
2019,Iran,Middle East,Male,17 and under,2
2019,Iran,Middle East,Male,25 to 39,3
2019,Iran,Middle East,Male,40 and over,1
2019,Iraq,Middle East,Female,17 and under,1
2019,Iraq,Middle East,Female,40 and over,1
2019,Iraq,Middle East,Male,17 and under,2
2019,Iraq,Middle East,Male,25 to 39,3
2019,Afghanistan,Asia Central,Male,17 and under,1
2019,Afghanistan,Asia Central,Female,25 to 39,1
2019,Afghanistan,Asia Central,Male,18 to 24,2
2019,Afghanistan,Asia Central,Male,25 to 39,6
2019,Afghanistan,Asia Central,Male,17 and under,3
2019,Afghanistan,Asia Central,Male,18 to 24,1
2019,Albania,Europe Other,Male,17 and under,1
2019,Albania,Europe Other,Female,25 to 39,1
2019,Albania,Europe Other,Female,40 and over,1
2019,Albania,Europe Other,Male,18 to 24,2
2019,Albania,Europe Other,Male,25 to 39,4
2019,Albania,Europe Other,Female,18 to 24,1
2019,Azerbaijan,Europe Other,Male,25 to 39,1
2019,Egypt,Africa North,Male,25 to 39,1
2019,Gambia,Africa Sub-Saharan,Male,25 to 39,2
2019,Iran,Middle East,Female,17 and under,11
2019,Iran,Middle East,Female,25 to 39,14
2019,Iran,Middle East,Female,40 and over,3
2019,Iran,Middle East,Male,17 and under,10
2019,Iran,Middle East,Male,25 to 39,2
2019,Iran,Middle East,Male,40 and over,2
2019,Iran,Middle East,Female,18 to 24,5
2019,Iran,Middle East,Female,25 to 39,9
2019,Iran,Middle East,Female,40 and over,4
2019,Iran,Middle East,Male,18 to 24,58
2019,Iran,Middle East,Male,25 to 39,210
2019,Iran,Middle East,Male,40 and over,31
2019,Iran,Middle East,Male,17 and under,10
