x,y,Country,region_name,SSP2_1p5_Score,SSP2_2p0_Score,SSP2_3p0_Score
9.75,37.25,Tunisia,Bizerte,1.33789046364301,2.6003449641678,2.00229246435213
3.25,36.75,Algeria,BoumerdÃ¨s,1.63972822652564,0.0,2.73030612041901
3.75,36.75,Algeria,BoumerdÃ¨s,0.0,0.0,0.193011461363117
4.25,36.75,Algeria,Tizi Ouzou,0.0,0.0,0.193011461363117
4.75,36.75,Algeria,BÃ©jaÃ¯a,0.0,0.0,0.193011461363117
5.75,36.75,Algeria,Jijel,0.0,0.0183860650004361,1.09178961748702
6.25,36.75,Algeria,Jijel,0.0,0.0183860650004361,1.09178961748702
6.75,36.75,Algeria,Skikda,0.0,0.0183860650004361,1.09178961748702
7.25,36.75,Algeria,Skikda,0.0,0.0183860650004361,1.09178961748702
7.75,36.75,Algeria,El Tarf,0.940054056672484,2.20988723519956,2.53208830973509
8.25,36.75,Algeria,El Tarf,0.940054056672484,2.20988723519956,2.53208830973509
8.75,36.75,Tunisia,Jendouba,1.90002266186385,3.0,3.0
9.25,36.75,Tunisia,BÃ©ja,1.90002266186385,3.0,3.0
9.75,36.75,Tunisia,Manubah,1.33789046364301,2.6003449641678,2.00229246435213
10.25,36.75,Tunisia,Ben Arous (Tunis Sud),1.33789046364301,2.6003449641678,2.00229246435213
10.75,36.75,Tunisia,Nabeul,1.33789046364301,2.6003449641678,2.00229246435213
0.75,36.25,Algeria,Chlef,0.0,0.0,0.0
1.25,36.25,Algeria,Chlef,0.0,0.0,0.0
1.75,36.25,Algeria,AÃ¯n Defla,1.63972822652564,0.0,2.73030612041901
2.25,36.25,Algeria,AÃ¯n Defla,1.63972822652564,0.0,2.73030612041901
2.75,36.25,Algeria,MÃ©dÃ©a,1.63972822652564,0.0,2.73030612041901
3.25,36.25,Algeria,MÃ©dÃ©a,1.63972822652564,0.0,2.73030612041901
3.75,36.25,Algeria,Bouira,0.0,0.0,0.193011461363117
4.25,36.25,Algeria,Bouira,0.0,0.0,0.193011461363117
4.75,36.25,Algeria,Bordj Bou ArrÃ©ridj,0.0,0.0,0.193011461363117
5.25,36.25,Algeria,SÃ©tif,0.0,0.0,0.193011461363117
5.75,36.25,Algeria,SÃ©tif,0.0,0.0183860650004361,1.09178961748702
6.25,36.25,Algeria,Mila,0.0,0.0183860650004361,1.09178961748702
6.75,36.25,Algeria,Constantine,0.0,0.0183860650004361,1.09178961748702
7.25,36.25,Algeria,Guelma,0.0,0.0183860650004361,1.09178961748702
7.75,36.25,Algeria,Souk Ahras,0.940054056672484,2.20988723519956,2.53208830973509
8.25,36.25,Algeria,Souk Ahras,1.90002266186385,3.0,3.0
8.75,36.25,Tunisia,Le Kef,1.90002266186385,3.0,3.0
9.25,36.25,Tunisia,Siliana,1.90002266186385,3.0,3.0
9.75,36.25,Tunisia,Zaghouan,1.33789046364301,2.6003449641678,2.00229246435213
10.25,36.25,Tunisia,Zaghouan,1.33789046364301,2.6003449641678,2.00229246435213
-5.75,35.75,Morocco,Tanger - TÃ©touan,3.0,3.0,2.00003308227633
-0.75,35.75,Algeria,Oran,0.0,0.0,1.15432956827039
-0.25,35.75,Algeria,Oran,0.974736446088462,2.28169733738892,2.61092897747672
0.25,35.75,Algeria,Mostaganem,0.974736446088462,2.28169733738892,2.61092897747672
0.75,35.75,Algeria,Relizane,0.974736446088462,2.28169733738892,2.61092897747672
1.25,35.75,Algeria,Relizane,0.974736446088462,2.28169733738892,2.61092897747672
1.75,35.75,Algeria,Tissemsilt,0.0,0.475021603974305,2.0844634207108
2.25,35.75,Algeria,MÃ©dÃ©a,0.0,0.475021603974305,2.0844634207108
2.75,35.75,Algeria,MÃ©dÃ©a,0.0,0.475021603974305,2.0844634207108
3.25,35.75,Algeria,Djelfa,0.0,0.475021603974305,2.0844634207108
3.75,35.75,Algeria,M'Sila,2.25066083428498,3.0,1.67434018333405
4.25,35.75,Algeria,M'Sila,2.25066083428498,3.0,1.67434018333405
4.75,35.75,Algeria,M'Sila,2.25066083428498,3.0,1.67434018333405
5.25,35.75,Algeria,SÃ©tif,2.25066083428498,3.0,1.67434018333405
5.75,35.75,Algeria,Batna,0.163832724466252,3.0,1.34630442812202
6.25,35.75,Algeria,Batna,0.163832724466252,3.0,1.34630442812202
6.75,35.75,Algeria,Oum el Bouaghi,0.163832724466252,3.0,1.34630442812202
7.25,35.75,Algeria,Oum el Bouaghi,0.163832724466252,3.0,1.34630442812202
7.75,35.75,Algeria,Oum el Bouaghi,1.94420581967778,3.0,2.22106680260427
8.25,35.75,Algeria,TÃ©bessa,2.52715890956132,2.45981484375959,1.72814495847376
8.75,35.75,Tunisia,KassÃ©rine,2.52715890956132,2.45981484375959,1.72814495847376
9.25,35.75,Tunisia,Siliana,2.52715890956132,2.45981484375959,1.72814495847376
9.75,35.75,Tunisia,Kairouan,0.0,0.0,0.0
10.25,35.75,Tunisia,Sousse,0.0,0.0,0.0
10.75,35.75,Tunisia,Monastir,0.0,0.0,0.0
-5.75,35.25,Morocco,Tanger - TÃ©touan,3.0,3.0,2.00003308227633
-5.25,35.25,Morocco,Tanger - TÃ©touan,3.0,3.0,2.00003308227633
-3.75,35.25,Morocco,Oriental,0.0,0.0,0.0
-1.25,35.25,Algeria,AÃ¯n TÃ©mouchent,0.0,0.0,1.15432956827039
-0.75,35.25,Algeria,Sidi Bel AbbÃ¨s,0.0,0.0,1.15432956827039
